"sample","iM","Val"
"p1k_00327","Arginine",-2.50106279266548
"p1k_00010","Arginine",-2.99662846227152
"p1k_00989","Arginine",-2.3842621292918
"p1k_00654","Arginine",-2.58788442515428
"p1k_00032","Arginine",-2.20076935239311
"p1k_00248","Arginine",-2.79125329676284
"p1k_00356","Arginine",-2.96899892539464
"p1k_00151","Arginine",-2.60329739015236
"p1k_00529","Arginine",-2.01768195685541
"p1k_00586","Arginine",-2.26991243506896
"p1k_00051","Arginine",-2.91559453248559
"p1k_01001","Arginine",-2.60622134398882
"p1k_00932","Arginine",-2.64866370462115
"p1k_00027","Arginine",-2.88886257116263
"p1k_00060","Arginine",-2.86513902245819
"p1k_00286","Arginine",-2.76672475285428
"p1k_00282","Arginine",-2.79066045286548
"starve_series__t05_starve","Arginine",-4.68513898706259
"p1k_00474","Arginine",-2.11657006155885
"p1k_00961","Arginine",-2.91797724716361
"p1k_00240","Arginine",-2.74485778498989
"p1k_00724","Arginine",-2.99633822710085
"p1k_00902","Arginine",-2.77866602091563
"p1k_00413","Arginine",-3.12417800998409
"p1k_00274","Arginine",-2.87876398043778
"p1k_00438","Arginine",-3.11481422324863
"p1k_00574","Arginine",-2.43951407182502
"p1k_00890","Arginine",-2.90136462562834
"starve_series__t12_starve","Arginine",-4.58275634139228
"p1k_00181","Arginine",-2.81009341209806
"p1k_00993","Arginine",-2.58931146594076
"p1k_00659","Arginine",-2.61006151465246
"p1k_01050","Arginine",-2.52584242312013
"p1k_00318","Arginine",-2.94527299080916
"p1k_00182","Arginine",-2.8495131612231
"p1k_00428","Arginine",-2.95119086839208
"p1k_00931","Arginine",-2.74928562753278
"p1k_00483","Arginine",-1.78509169212532
"p1k_00997","Arginine",-2.82928223759485
"p1k_00471","Arginine",-1.64864085748425
"p1k_00694","Arginine",-2.80182982643692
"p1k_00554","Arginine",-2.02193958373086
"p1k_00730","Arginine",-2.97203024385786
"p1k_00449","Arginine",-2.59776819435509
"p1k_00421","Arginine",-3.04215867180713
"p1k_00800","Arginine",-2.79994169221272
"p1k_00284","Arginine",-2.81160222689556
"p1k_00187","Arginine",-3.12771403021782
"p1k_00288","Arginine",-2.60908499446202
"p1k_00062","Arginine",-2.8378978074096
"p1k_00947","Arginine",-2.90762521595807
"p1k_00559","Arginine",-3.56466280043491
"p1k_01021","Arginine",-2.40600138555237
"p1k_00955","Arginine",-2.43539083909395
"p1k_00186","Arginine",-2.72921211943285
"p1k_00686","Arginine",-2.27198018974873
"p1k_00657","Arginine",-2.80234121499124
"p1k_00153","Arginine",-2.89407669320188
"p1k_00235","Arginine",-2.70391315233476
"p1k_01048","Arginine",-2.33238056899728
"p1k_00306","Arginine",-2.4748853321032
"p1k_00024","Arginine",-1.96398676056431
"p1k_00218","Arginine",-2.70113141253375
"p1k_00540","Arginine",-2.39563341397449
"p1k_00957","Arginine",-2.39876284988852
"p1k_01012","Arginine",-2.89627972598145
"p1k_00281","Arginine",-2.87384265087289
"p1k_00391","Arginine",-2.76054833554767
"p1k_00854","Arginine",-1.80567274914904
"p1k_01005","Arginine",-2.59034048859873
"p1k_00489","Arginine",-1.90224785261688
"p1k_00086","Arginine",-2.39783086326042
"p1k_00673","Arginine",-2.24729252577602
"p1k_00247","Arginine",-2.80945540265711
"p1k_00905","Arginine",-2.99882078107631
"p1k_00197","Arginine",-2.93788907648149
"p1k_00352","Arginine",-3.07137431174172
"p1k_00202","Arginine",-2.81419622975169
"p1k_00777","Arginine",-2.9097624354195
"p1k_00760","Arginine",-2.93168658323117
"p1k_00522","Arginine",-3.5162295438867
"p1k_00296","Arginine",-2.55602371433909
"p1k_01049","Arginine",-2.39341530306681
"p1k_00977","Arginine",-2.86990606531237
"p1k_00266","Arginine",-2.6622874767431
"p1k_00754","Arginine",-3.38432222849781
"p1k_00638","Arginine",-2.79659431647874
"p1k_00376","Arginine",-2.27637924197644
"p1k_00038","Arginine",-2.39417487842958
"p1k_00669","Arginine",-2.94549384061789
"p1k_00885","Arginine",-3.05552684596574
"p1k_00946","Arginine",-2.52779245520131
"p1k_01015","Arginine",-2.68068777566351
"p1k_00566","Arginine",-2.65126152353961
"p1k_00674","Arginine",-2.79678560958174
"p1k_00280","Arginine",-2.92237415026824
"p1k_00968","Arginine",-2.56670475435257
"p1k_00472","Arginine",-1.63373340604485
"p1k_00482","Arginine",-1.48964751825148
"starve_series__t28_growth2","Arginine",-6.27698370256942
"p1k_01035","Arginine",-2.62773424532956
"p1k_00478","Arginine",-2.62012615872315
"p1k_00493","Arginine",-2.2297354283277
"p1k_00353","Arginine",-2.98113002133667
"p1k_00096","Arginine",-2.90547942478016
"p1k_00552","Arginine",-2.46350836360533
"p1k_00102","Arginine",-2.82782618064368
"p1k_00733","Arginine",-3.08052124323768
"p1k_00427","Arginine",-2.98925111776211
"p1k_00031","Arginine",-2.18133354261364
"p1k_00411","Arginine",-3.03334778293552
"p1k_00484","Arginine",-1.8219998200591
"p1k_00268","Arginine",-2.7433615804782
"p1k_00305","Arginine",-2.56508324830585
"p1k_00255","Arginine",-2.93193153951701
"p1k_00547","Arginine",-1.9208969928891
"p1k_00817","Arginine",-3.12597041895039
"p1k_00084","Arginine",-2.7298618924378
"p1k_00117","Arginine",-2.82618697887895
"p1k_01043","Arginine",-2.57110940836577
"p1k_00343","Arginine",-3.06674166998431
"p1k_00624","Arginine",-2.63211412087243
"p1k_00232","Arginine",-2.67814198029923
"p1k_00978","Arginine",-2.83487112405139
"p1k_00705","Arginine",-2.76075015197903
"p1k_00033","Arginine",-2.82562018577779
"p1k_00814","Arginine",-3.01333636516634
"p1k_00262","Arginine",-2.19832991368026
"p1k_00805","Arginine",-3.01383142810392
"p1k_00525","Arginine",-2.81870975733847
"p1k_00569","Arginine",-2.26722696760878
"p1k_00871","Arginine",-2.23495753438422
"p1k_00855","Arginine",-1.93266773375434
"p1k_00047","Arginine",-2.93839216902104
"p1k_00171","Arginine",-1.88864869557477
"p1k_00609","Arginine",-2.46429111229301
"p1k_00937","Arginine",-2.87660416999829
"p1k_00579","Arginine",-2.54634546614862
"p1k_00849","Arginine",-1.87564437786795
"p1k_00018","Arginine",-2.97538022173219
"p1k_00129","Arginine",-2.43134164741583
"p1k_00400","Arginine",-2.68674039988493
"p1k_00360","Arginine",-1.40046041638967
"p1k_00807","Arginine",-2.87030506871371
"p1k_00683","Arginine",-2.78710750560795
"p1k_00345","Arginine",-2.45111955632177
"p1k_00896","Arginine",-3.0330958911777
"p1k_00672","Arginine",-2.32482197665273
"p1k_00294","Arginine",-2.82631398473823
"p1k_00769","Arginine",-2.73024998628411
"p1k_00222","Arginine",-2.74479460850547
