"sample","iM","Val"
"p1k_00327","BasR",-4.73542214457038
"p1k_00010","BasR",-4.53930443470394
"p1k_00989","BasR",-4.3554738897339
"p1k_00654","BasR",-4.58600711240003
"p1k_00032","BasR",-3.9851044978022
"p1k_00248","BasR",-4.09100647904387
"p1k_00356","BasR",-4.72911573045451
"p1k_00151","BasR",-4.50063055657903
"p1k_00529","BasR",-4.85754219513682
"p1k_00586","BasR",-5.29376821522644
"p1k_00051","BasR",-4.34216513783068
"p1k_01001","BasR",-4.32597390585238
"p1k_00932","BasR",-4.21193681315622
"p1k_00027","BasR",-4.25754281345691
"p1k_00060","BasR",-4.52590207772052
"p1k_00286","BasR",-4.42120533738002
"p1k_00282","BasR",-4.78971313046332
"starve_series__t05_starve","BasR",-2.24342888165829
"p1k_00474","BasR",-2.89437788089295
"p1k_00961","BasR",-4.29938762090978
"p1k_00240","BasR",-3.90225069639402
"p1k_00724","BasR",-5.00415530828374
"p1k_00902","BasR",-4.57188856592132
"p1k_00413","BasR",-5.27359827041188
"p1k_00274","BasR",-5.08688913515247
"p1k_00438","BasR",-5.50771070238934
"p1k_00574","BasR",-4.92905749448358
"p1k_00890","BasR",-4.54475071515126
"starve_series__t12_starve","BasR",-3.01245252108549
"p1k_00181","BasR",-5.14017409226643
"p1k_00993","BasR",-4.29733415277659
"p1k_00659","BasR",-4.71704318410586
"p1k_01050","BasR",-5.07036726828871
"p1k_00318","BasR",-4.90617740557074
"p1k_00182","BasR",-5.03255318515779
"p1k_00428","BasR",-4.99910172248578
"p1k_00931","BasR",-4.29913424019503
"p1k_00483","BasR",-4.52977215915466
"p1k_00997","BasR",-4.19256612695639
"p1k_00471","BasR",-5.27488531057835
"p1k_00694","BasR",-4.69604634182578
"p1k_00554","BasR",-5.03941712529075
"p1k_00730","BasR",-4.78633274176774
"p1k_00449","BasR",-4.74509085540924
"p1k_00421","BasR",-5.25499814293622
"p1k_00800","BasR",-4.55772670520745
"p1k_00284","BasR",-4.93428140633126
"p1k_00187","BasR",-5.07447509714969
"p1k_00288","BasR",-4.50533663229849
"p1k_00062","BasR",-4.33494634725284
"p1k_00947","BasR",-4.18731427533153
"p1k_00559","BasR",-5.14518371223617
"p1k_01021","BasR",-4.08198703895696
"p1k_00955","BasR",-4.2657623657835
"p1k_00186","BasR",-4.95778445793042
"p1k_00686","BasR",-4.17450490545642
"p1k_00657","BasR",-4.6794669847811
"p1k_00153","BasR",-4.27645447775132
"p1k_00235","BasR",-4.2857915572921
"p1k_01048","BasR",-4.82268204449944
"p1k_00306","BasR",-4.57356729850386
"p1k_00024","BasR",-4.35799137825931
"p1k_00218","BasR",-4.47364693871724
"p1k_00540","BasR",-4.9999205136778
"p1k_00957","BasR",-4.43582484993897
"p1k_01012","BasR",-4.2113034589516
"p1k_00281","BasR",-4.84066378450086
"p1k_00391","BasR",-4.5071959552139
"p1k_00854","BasR",-4.61415799729323
"p1k_01005","BasR",-4.36402700738464
"p1k_00489","BasR",-3.12653625971452
"p1k_00086","BasR",-4.65922029709521
"p1k_00673","BasR",-4.23059736874272
"p1k_00247","BasR",-3.97292862255463
"p1k_00905","BasR",-4.53147704351958
"p1k_00197","BasR",-4.32795548113202
"p1k_00352","BasR",-4.64839115681274
"p1k_00202","BasR",-4.0796755178399
"p1k_00777","BasR",-4.64202738835736
"p1k_00760","BasR",-4.96298207766156
"p1k_00522","BasR",-4.58671365350856
"p1k_00296","BasR",-5.2993905055544
"p1k_01049","BasR",-4.85556795576395
"p1k_00977","BasR",-4.24122818049288
"p1k_00266","BasR",-4.44080445655857
"p1k_00754","BasR",-4.36251854858353
"p1k_00638","BasR",-4.35629971565499
"p1k_00376","BasR",-4.26976405077823
"p1k_00038","BasR",-4.11704146915126
"p1k_00669","BasR",-4.73181562412992
"p1k_00885","BasR",-4.89553037867414
"p1k_00946","BasR",-4.38021503475202
"p1k_01015","BasR",-4.21674023668948
"p1k_00566","BasR",-5.23818429976318
"p1k_00674","BasR",-4.62446545722944
"p1k_00280","BasR",-4.54096581387797
"p1k_00968","BasR",-4.40394121899102
"p1k_00472","BasR",-5.43293270635565
"p1k_00482","BasR",-15.4457277347702
"starve_series__t28_growth2","BasR",-3.18344765428846
"p1k_01035","BasR",-4.19522360535278
"p1k_00478","BasR",-4.60577417898728
"p1k_00493","BasR",-3.7591665027531
"p1k_00353","BasR",-4.96517133729524
"p1k_00096","BasR",-4.46051759761404
"p1k_00552","BasR",-4.93645694062086
"p1k_00102","BasR",-5.05774045760523
"p1k_00733","BasR",-5.16172470918083
"p1k_00427","BasR",-4.88779309430131
"p1k_00031","BasR",-3.92462698521662
"p1k_00411","BasR",-4.80627818505477
"p1k_00484","BasR",-4.47614704219665
"p1k_00268","BasR",-4.49902846497884
"p1k_00305","BasR",-4.72049613762568
"p1k_00255","BasR",-4.52635889542728
"p1k_00547","BasR",-5.24285626703918
"p1k_00817","BasR",-4.68891536128145
"p1k_00084","BasR",-4.48320440438572
"p1k_00117","BasR",-4.34248433611868
"p1k_01043","BasR",-4.45422366007301
"p1k_00343","BasR",-4.84924280287623
"p1k_00624","BasR",-4.46984993414088
"p1k_00232","BasR",-4.48621414696566
"p1k_00978","BasR",-4.24680946016929
"p1k_00705","BasR",-4.56816213352644
"p1k_00033","BasR",-4.21445874226721
"p1k_00814","BasR",-4.38490517732451
"p1k_00262","BasR",-4.6588421832095
"p1k_00805","BasR",-5.10336620357952
"p1k_00525","BasR",-5.05927295971593
"p1k_00569","BasR",-4.78763659706064
"p1k_00871","BasR",-3.75865751692271
"p1k_00855","BasR",-4.62023158477358
"p1k_00047","BasR",-4.71280300453245
"p1k_00171","BasR",-4.92329725659866
"p1k_00609","BasR",-5.10921274118252
"p1k_00937","BasR",-4.37667310173486
"p1k_00579","BasR",-4.91464321442029
"p1k_00849","BasR",-15.5471112964371
"p1k_00018","BasR",-4.37682897125685
"p1k_00129","BasR",-4.89573538776198
"p1k_00400","BasR",-5.1540231422729
"p1k_00360","BasR",-15.5583616907486
"p1k_00807","BasR",-4.75443448044509
"p1k_00683","BasR",-4.7457998122185
"p1k_00345","BasR",-4.37086269114137
"p1k_00896","BasR",-4.91164200275967
"p1k_00672","BasR",-4.30469363465591
"p1k_00294","BasR",-4.82092183013347
"p1k_00769","BasR",-4.48720526859846
"p1k_00222","BasR",-4.4466392497732
"p1k_00804","BasR",-4.71435587394374
"p1k_00761","BasR",-4.71609241164836
"p1k_00406","BasR",-5.54571624711797
"p1k_00597","BasR",-5.11533964133647
"p1k_01045","BasR",-4.96654365049048
"p1k_00071","BasR",-4.54178182308024
"p1k_00719","BasR",-4.95418776074102
"p1k_00933","BasR",-4.33098769122302
"p1k_00726","BasR",-5.1603322732896
"p1k_00159","BasR",-5.34379337962651
"p1k_00951","BasR",-4.35516501225645
"p1k_00605","BasR",-4.32636903429044
"p1k_00002","BasR",-4.5557709153238
"p1k_00599","BasR",-4.94278579361361
"p1k_00379","BasR",-5.18196449761225
"p1k_00647","BasR",-4.20369231413494
"p1k_00587","BasR",-4.78734421534589
"p1k_00023","BasR",-4.26595693878215
"p1k_00409","BasR",-4.82700328967432
"p1k_00914","BasR",-4.59588590614348
"p1k_00965","BasR",-4.25198773545506
"p1k_00297","BasR",-4.48220456312429
"p1k_00487","BasR",-3.1594513242721
"p1k_00516","BasR",-4.88403833804263
"p1k_00996","BasR",-4.17771252018557
"p1k_00260","BasR",-4.63444404248348
"p1k_00863","BasR",-4.46589716800509
"p1k_00633","BasR",-4.47528907635628
"p1k_00740","BasR",-4.49247265407085
"p1k_00368","BasR",-5.2315867487943
"p1k_00423","BasR",-5.54582732222123
"p1k_00695","BasR",-4.6558151475125
"p1k_01024","BasR",-4.33694671338975
"p1k_00111","BasR",-4.35043617740327
"p1k_00025","BasR",-4.11326705793249
"p1k_00515","BasR",-4.99304550243924
"p1k_00097","BasR",-4.39716161033602
"p1k_00201","BasR",-4.10822627141917
"p1k_00736","BasR",-4.5434910003683
"p1k_00198","BasR",-4.2696920924169
"p1k_00192","BasR",-4.53221678947209
"p1k_00541","BasR",-5.0601196626508
"starve_series__t08_starve","BasR",-2.74667535903827
"p1k_00685","BasR",-4.17429602905883
"p1k_00380","BasR",-5.20042260667545
"p1k_00361","BasR",-5.25111537490527
"p1k_00768","BasR",-4.48824291066624
"p1k_00919","BasR",-5.15402718229782
"p1k_00056","BasR",-4.29847293653136
"p1k_00872","BasR",-4.540887069609
