,b2253,b2255,b2256,b2257,b4114,b4544,b2254
RNAP,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001,0.001,0.001,0.001,0.001
kEscape,0.1,10.0,0.1,0.1,0.1,0.1,0.1
KeqOpening,0.15273375307521292,0.0010820979731341336,0.09701594310110993,0.09326915860310964,0.0986585644581809,0.10339324662882085,0.14042616276988282
KdRNAPCrp,1.5209960937501468e-06,2.4121093750001457e-06,4.5483398437508e-06,2.121093750000076e-05,9.03808593750079e-06,3.271484375000145e-06,3.847656250000142e-06
