"sample","iM","Val"
"p1k_00459","CpxR",-6.39401138964881
"p1k_00778","CpxR",-9.34314846231183
"p1k_00922","CpxR",-5.62392403221525
"p1k_00662","CpxR",-5.97262681633422
"p1k_00685","CpxR",-6.1400665714049
"p1k_00969","CpxR",-6.37530416583782
"p1k_00104","CpxR",-6.67249139856005
"p1k_00117","CpxR",-5.90809200201804
"p1k_00923","CpxR",-5.46676119049338
"p1k_00057","CpxR",-5.83514568609684
"p1k_00914","CpxR",-6.01713387912756
"p1k_00382","CpxR",-9.52694901742752
"p1k_00171","CpxR",-10.0171736715286
"p1k_00430","CpxR",-9.06125730925941
"p1k_00910","CpxR",-6.25938776887727
"p1k_00948","CpxR",-6.64058912237502
"p1k_01037","CpxR",-6.22364398549029
"p1k_00748","CpxR",-9.75903149877812
"p1k_01038","CpxR",-9.85582991856738
"p1k_00336","CpxR",-8.57108614929921
"p1k_00850","CpxR",-5.84081385699252
"p1k_00811","CpxR",-6.4302330139834
"p1k_00474","CpxR",-5.74183331052399
"p1k_00195","CpxR",-6.54030840313525
"p1k_00271","CpxR",-6.45004564411729
"p1k_00477","CpxR",-5.62888704886887
"p1k_00732","CpxR",-9.29491024379855
"p1k_00373","CpxR",-10.0054023390966
"p1k_00335","CpxR",-8.61217229889808
"p1k_00491","CpxR",-6.44077787665404
"p1k_00575","CpxR",-9.80092505167275
"p1k_00576","CpxR",-6.22940208361543
"p1k_00062","CpxR",-5.74293984788971
"p1k_00428","CpxR",-6.1528955997692
"p1k_00158","CpxR",-5.93367317604409
"p1k_00902","CpxR",-5.89916281701856
"p1k_00618","CpxR",-5.84362463029068
"p1k_00269","CpxR",-6.59051641621512
"p1k_00805","CpxR",-9.10817810718663
"p1k_00019","CpxR",-5.85524075906274
"p1k_00456","CpxR",-6.1375388865569
"p1k_00511","CpxR",-9.57764525575307
"p1k_00868","CpxR",-6.26617670493147
"p1k_00872","CpxR",-6.1914404209899
"starve_series__t03_starve","CpxR",-5.68256034047943
"p1k_00413","CpxR",-7.34972208957748
"p1k_00176","CpxR",-9.62166994561885
"p1k_00011","CpxR",-8.4723389434141
"starve_series__t25_growth2","CpxR",-5.88024403039222
"p1k_00764","CpxR",-9.56244879257496
"p1k_00630","CpxR",-5.96744274327615
"p1k_00163","CpxR",-9.37757004796638
"p1k_00409","CpxR",-6.2196647592281
"p1k_00322","CpxR",-8.92009661951232
"p1k_00752","CpxR",-10.1931098818482
"p1k_00344","CpxR",-6.25129934397183
"p1k_00546","CpxR",-9.78283120963869
"p1k_00191","CpxR",-5.95649070378689
"p1k_01040","CpxR",-9.88469026296527
"p1k_00654","CpxR",-6.06971941218409
"p1k_00324","CpxR",-9.57953725337311
"p1k_00657","CpxR",-8.877317081321
"p1k_00488","CpxR",-5.73247159211012
"p1k_00903","CpxR",-5.94338001850875
"p1k_00341","CpxR",-6.49876940673662
"starve_series__t16_starve","CpxR",-5.82294535367438
"p1k_00637","CpxR",-6.44429548736378
"p1k_00105","CpxR",-6.17975690356172
"p1k_00539","CpxR",-5.7205538979267
"p1k_00530","CpxR",-6.02302292801116
"p1k_00610","CpxR",-8.74817053486407
"p1k_00368","CpxR",-9.32908463712784
"p1k_00039","CpxR",-6.59353166773488
"p1k_01035","CpxR",-6.20970544029855
"p1k_00498","CpxR",-5.85393622939178
"p1k_00646","CpxR",-5.96250563430855
"p1k_00893","CpxR",-6.54613590647746
"starve_series__t06_starve","CpxR",-5.79855349229201
"p1k_00506","CpxR",-5.25915813618057
"p1k_00003","CpxR",-9.39046688509039
"p1k_00015","CpxR",-8.69584016513059
"p1k_00961","CpxR",-8.12631153299955
"p1k_00056","CpxR",-5.78001372746798
"p1k_00482","CpxR",-5.83216427795092
"starve_series__t09_starve","CpxR",-6.03450893701371
"p1k_00274","CpxR",-6.03725945202934
"p1k_00321","CpxR",-6.55073730594148
"p1k_00046","CpxR",-9.22254476274284
"p1k_00621","CpxR",-6.60988005167156
"starve_series__t11_starve","CpxR",-6.09106768788386
"p1k_00293","CpxR",-9.55157574583526
"p1k_00607","CpxR",-9.3841344752966
"p1k_00647","CpxR",-5.97002732531665
"p1k_00582","CpxR",-8.53518001315112
"p1k_00806","CpxR",-9.29467659972362
"p1k_00423","CpxR",-8.9998041624024
"p1k_00888","CpxR",-9.7662308355999
"p1k_00980","CpxR",-6.02651143042845
"p1k_00225","CpxR",-6.30160407953869
"p1k_00282","CpxR",-9.53167207008411
"p1k_00840","CpxR",-6.34319074636258
"p1k_00393","CpxR",-10.1755820364681
"p1k_00464","CpxR",-6.59494031518583
"p1k_00841","CpxR",-6.42759452186369
"p1k_00584","CpxR",-9.12529279429976
"p1k_00240","CpxR",-9.62204354877552
"p1k_00222","CpxR",-6.24933185468649
"p1k_00844","CpxR",-5.58019710870538
"p1k_00258","CpxR",-6.22028335633787
"p1k_00613","CpxR",-9.08736608048631
"p1k_00204","CpxR",-6.00826562906436
"p1k_00766","CpxR",-6.2450197162761
"p1k_00290","CpxR",-6.66775491319422
"p1k_00166","CpxR",-5.72926721057834
"p1k_00885","CpxR",-8.92009662004253
"p1k_00048","CpxR",-6.3730893901419
"p1k_00212","CpxR",-10.1650028529915
"p1k_00917","CpxR",-5.69440275201354
"p1k_00976","CpxR",-6.28183329262706
"p1k_00698","CpxR",-6.40578506793804
"p1k_00817","CpxR",-6.97379826591895
"p1k_00894","CpxR",-6.11603282669999
"p1k_00495","CpxR",-9.91928435935663
"p1k_00954","CpxR",-6.67311616845427
"p1k_00263","CpxR",-8.76218360052025
"p1k_00569","CpxR",-9.64702393240032
"p1k_00849","CpxR",-5.45935451166373
"p1k_00371","CpxR",-6.07672225665032
"p1k_00073","CpxR",-9.5814474356998
"p1k_00446","CpxR",-10.028127489006
"p1k_00564","CpxR",-6.74051194156287
"p1k_00189","CpxR",-9.88812382865608
"p1k_00100","CpxR",-6.36709250537921
"p1k_00347","CpxR",-6.40735359779206
"p1k_00628","CpxR",-8.44203770510775
"starve_series__t05_starve","CpxR",-5.7307540531149
"p1k_01023","CpxR",-6.15549533499167
"p1k_00665","CpxR",-6.45192054284259
"p1k_00523","CpxR",-7.73637101557564
"p1k_00905","CpxR",-5.74595024738048
"p1k_00729","CpxR",-9.40357597856856
"p1k_00898","CpxR",-6.3248300894559
"p1k_00355","CpxR",-6.4364559575391
"p1k_00537","CpxR",-5.53109938499759
"p1k_00161","CpxR",-9.21824200330861
"p1k_00099","CpxR",-5.75191844966937
"p1k_00132","CpxR",-6.2924104696119
"p1k_00688","CpxR",-9.67333529796019
"p1k_00025","CpxR",-5.80618499900592
"p1k_00054","CpxR",-5.94800178589125
"p1k_00658","CpxR",-6.01487061308823
"p1k_00120","CpxR",-5.89267141021396
"p1k_00131","CpxR",-5.93731328356805
"p1k_00633","CpxR",-8.78351914584233
"starve_series__t17_starve","CpxR",-5.90469908144317
"p1k_00943","CpxR",-6.19437796653637
"p1k_00462","CpxR",-7.02115583675768
"p1k_00112","CpxR",-6.00105946741804
"p1k_00686","CpxR",-5.97173486027487
"p1k_00154","CpxR",-9.11870352615296
"p1k_00059","CpxR",-5.75738111639334
"p1k_00484","CpxR",-6.19357412062721
"p1k_00863","CpxR",-6.22021288360875
"p1k_00469","CpxR",-5.46030145481958
"p1k_00237","CpxR",-6.10419537202478
"p1k_00638","CpxR",-6.51864927024824
"p1k_00649","CpxR",-9.83917268523092
