"sample","iM","Val"
"starve_series__t23_growth2","Cra",-9.17032488569441
"p1k_00679","Cra",-12.447299060775
"p1k_00467","Cra",-8.24564562029263
"p1k_00579","Cra",-5.50550886050567
"p1k_00215","Cra",-10.0061069313019
"p1k_00358","Cra",-9.28686266416021
"p1k_00568","Cra",-5.10717983801575
"p1k_00408","Cra",-9.80649477433411
"p1k_00581","Cra",-6.67047124685602
"starve_series__t04_starve","Cra",-9.53688686447028
"p1k_00327","Cra",-5.73339609439129
"p1k_00505","Cra",-6.00016565085738
"p1k_00610","Cra",-5.51376175268162
"p1k_00651","Cra",-10.0129602240897
"p1k_00566","Cra",-10.0116154657731
"p1k_00799","Cra",-6.46375829194857
"p1k_00461","Cra",-5.27166156239861
"p1k_00909","Cra",-12.4469963898485
"p1k_00980","Cra",-8.97891804846849
"p1k_00937","Cra",-7.88047531402264
"p1k_00488","Cra",-9.95954003639514
"p1k_00312","Cra",-10.9557432990971
"p1k_00458","Cra",-9.41381657827954
"p1k_00338","Cra",-12.447191552191
"p1k_00223","Cra",-10.1709660623051
"p1k_00750","Cra",-6.35917340063921
"p1k_00628","Cra",-12.4473203030297
"p1k_00902","Cra",-5.66710341644274
"p1k_00963","Cra",-9.30290495708627
"p1k_00001","Cra",-10.0020897078305
"p1k_00730","Cra",-9.7529986684497
"p1k_00331","Cra",-6.05486488187451
"p1k_00079","Cra",-5.08425365435802
"p1k_00124","Cra",-12.4471771955001
"p1k_00173","Cra",-8.69576566865356
"starve_series__t01_starve","Cra",-12.4471873218051
"p1k_00639","Cra",-12.4473044309637
"p1k_00374","Cra",-8.9522267414872
"p1k_01011","Cra",-8.90638928603514
"p1k_01031","Cra",-9.61492697092423
"p1k_00011","Cra",-8.03411039809166
"p1k_00345","Cra",-12.4471390164804
"p1k_00313","Cra",-8.44192144436707
"p1k_00522","Cra",-8.98691582738547
"p1k_00263","Cra",-9.04589681244059
"p1k_00638","Cra",-8.81077943860151
"p1k_00037","Cra",-6.33916968410609
"p1k_00513","Cra",-5.45603380457534
"p1k_00995","Cra",-8.539046224014
"p1k_00308","Cra",-7.43539073607991
"p1k_00927","Cra",-4.22508543158191
"p1k_00129","Cra",-4.71293495403517
"p1k_00307","Cra",-8.99990823248122
"p1k_00465","Cra",-6.94123394473818
"p1k_00165","Cra",-9.13619745020914
"p1k_00823","Cra",-12.4473002486977
"p1k_00026","Cra",-9.99903817535667
"p1k_00239","Cra",-9.20926105787981
"p1k_00043","Cra",-7.31121377508681
"p1k_00619","Cra",-9.13971139095114
"p1k_00027","Cra",-9.99643113893129
"p1k_00883","Cra",-6.3592704393917
"p1k_00634","Cra",-8.96851238022985
"p1k_00304","Cra",-4.67076718694214
"p1k_00877","Cra",-9.14472103553568
"p1k_00410","Cra",-9.4328246628907
"p1k_00818","Cra",-6.20173217152163
"p1k_00334","Cra",-6.12286960727799
"p1k_01009","Cra",-8.96409008789542
"p1k_00606","Cra",-5.52222990053161
"p1k_00717","Cra",-8.06442245361968
"p1k_01020","Cra",-12.4472449719016
"p1k_00317","Cra",-6.38507631884007
"p1k_00167","Cra",-9.23461387862978
"p1k_00260","Cra",-5.1319494791478
"p1k_00131","Cra",-5.92352047678068
"p1k_00376","Cra",-8.05401610269606
"p1k_00101","Cra",-12.4472726431442
"p1k_00573","Cra",-4.64889940022585
"p1k_00916","Cra",-8.90917275971311
"p1k_00142","Cra",-12.447272546095
"p1k_00262","Cra",-9.93363490719762
"p1k_00153","Cra",-6.69593294269604
"p1k_00444","Cra",-12.4471911130011
"p1k_00414","Cra",-10.2994932379536
"p1k_00728","Cra",-12.4472572913356
"p1k_00624","Cra",-8.65835485391521
"p1k_00718","Cra",-8.50402514104865
"p1k_00185","Cra",-10.3180120591337
"p1k_00409","Cra",-7.87087467637147
"p1k_00424","Cra",-9.5648005011225
"p1k_01003","Cra",-8.86275907050848
"p1k_00873","Cra",-12.4472955655815
"p1k_00525","Cra",-8.76363361391302
"p1k_00933","Cra",-8.47111912190044
"p1k_00281","Cra",-6.01407079179959
"p1k_00982","Cra",-8.40392611300493
"p1k_00123","Cra",-12.4471799583459
"p1k_01023","Cra",-10.0052087483758
"p1k_00742","Cra",-7.93941915505638
"p1k_00743","Cra",-6.18815250322251
"p1k_00062","Cra",-12.44731043292
"p1k_00121","Cra",-12.4471905694635
"p1k_00552","Cra",-10.0037550137837
"p1k_00113","Cra",-5.84702472773734
"p1k_00558","Cra",-8.41414314627597
"p1k_00186","Cra",-9.67580927831567
"p1k_00296","Cra",-9.97063408174968
"p1k_00720","Cra",-11.1849068911103
"p1k_00896","Cra",-8.90516188840636
"p1k_00187","Cra",-9.13079037304579
"p1k_00413","Cra",-10.1264458651177
"p1k_00777","Cra",-8.7473740569598
"p1k_00831","Cra",-8.62700781423784
"p1k_00258","Cra",-8.30478522159579
"p1k_00712","Cra",-9.52648673907764
"p1k_00332","Cra",-12.447143338957
"p1k_00425","Cra",-10.498509640328
"p1k_00598","Cra",-10.0151997939466
"p1k_00099","Cra",-6.11396072645209
"p1k_00475","Cra",-7.61978665874333
"p1k_00205","Cra",-12.4469332126762
"p1k_00820","Cra",-8.74434668590499
"p1k_00940","Cra",-9.35438095850119
"p1k_00333","Cra",-9.99459504090472
"p1k_00368","Cra",-9.0121276040965
"p1k_00876","Cra",-8.89207825591238
"p1k_00672","Cra",-8.2739592532565
"p1k_00179","Cra",-12.4472335471649
"p1k_00065","Cra",-6.30231950362401
"p1k_00183","Cra",-8.61103826021307
"p1k_00492","Cra",-9.99228177969122
"p1k_00280","Cra",-10.4549386898219
"p1k_00141","Cra",-9.94402353980817
"p1k_00527","Cra",-4.86906630587348
"p1k_00953","Cra",-6.36977011529306
"p1k_01055","Cra",-12.4472420283766
"p1k_01047","Cra",-10.0054575230997
"p1k_00605","Cra",-5.07143869371288
"p1k_00975","Cra",-8.46529118985293
"p1k_00998","Cra",-8.82660222457874
"p1k_00036","Cra",-6.20334933785917
"p1k_01002","Cra",-9.05880819931202
"p1k_00016","Cra",-8.06833087935086
"p1k_00836","Cra",-8.74070591375371
"p1k_00487","Cra",-5.77831448971924
"p1k_00611","Cra",-8.66560875971576
"p1k_00965","Cra",-8.49417059687532
"p1k_00044","Cra",-6.70616560013906
"p1k_00744","Cra",-9.9844759433462
"p1k_00990","Cra",-8.43105878604656
"p1k_00716","Cra",-9.53003324837138
"p1k_00426","Cra",-9.08444027340896
"p1k_00848","Cra",-8.32211649433703
"p1k_01045","Cra",-8.45900881019773
"p1k_00072","Cra",-9.07274703882787
"p1k_00428","Cra",-8.61524278954317
"p1k_00530","Cra",-9.15633109128619
"p1k_00171","Cra",-9.19470460625083
"p1k_01015","Cra",-8.31472250228443
"p1k_00320","Cra",-12.4471938020276
"p1k_00665","Cra",-10.0560884551441
"p1k_00734","Cra",-8.28563781700777
"p1k_00938","Cra",-12.447267781609
"p1k_00977","Cra",-9.01137932861892
"p1k_01017","Cra",-8.37770708730771
"p1k_00418","Cra",-10.0271296583806
"p1k_00819","Cra",-12.4471735553493
"p1k_00790","Cra",-10.0182671135241
"p1k_00381","Cra",-9.99097285532702
"p1k_00703","Cra",-9.20088561592716
"p1k_00048","Cra",-6.49304850924146
"p1k_00082","Cra",-7.80039113798891
"p1k_00174","Cra",-8.51167818208448
"p1k_00569","Cra",-4.78291597785413
"p1k_00355","Cra",-9.50128799150541
"p1k_00455","Cra",-6.05448903222143
"p1k_00830","Cra",-10.2098959729888
"p1k_00095","Cra",-6.33495340732919
"p1k_00111","Cra",-7.38300922256024
"p1k_00397","Cra",-6.14599763640524
"p1k_00862","Cra",-9.63665101194186
"p1k_00214","Cra",-9.19568176482753
"p1k_00637","Cra",-12.4473263445595
"p1k_00145","Cra",-5.48417845666495
"p1k_00302","Cra",-7.02466175528327
"p1k_00988","Cra",-9.59391985316668
"p1k_00184","Cra",-9.86982504742965
"p1k_00755","Cra",-9.99588412285111
"p1k_01026","Cra",-6.28741539182926
"p1k_00445","Cra",-6.04710006820144
"p1k_00545","Cra",-5.48895196957711
"p1k_01053","Cra",-9.04261034728175
"p1k_00778","Cra",-7.57618357250457
"p1k_00083","Cra",-6.99217586605907
"p1k_00107","Cra",-6.71549303279486
"p1k_00678","Cra",-8.81029454729038
"p1k_00417","Cra",-8.84455615074527
"p1k_00559","Cra",-9.0347583377387
"p1k_00666","Cra",-12.4473172460128
"p1k_00042","Cra",-9.99304042436268
"p1k_00200","Cra",-6.18277927026084
"p1k_00254","Cra",-8.74864068578146
"p1k_00667","Cra",-10.741475154256
"p1k_01050","Cra",-10.0074386342586
"p1k_00433","Cra",-10.4382516531347
"p1k_00805","Cra",-12.4472303559771
"p1k_00770","Cra",-5.77019015441326
"p1k_00921","Cra",-12.4472634632699
"p1k_00746","Cra",-9.97311347133306
"p1k_00269","Cra",-8.83100696294888
"p1k_00726","Cra",-12.447257812379
"p1k_00825","Cra",-8.97511428033756
"p1k_00116","Cra",-8.11308486285089
"p1k_00817","Cra",-6.11572774812962
"p1k_00053","Cra",-8.28349444450805
"p1k_00599","Cra",-5.67920030138928
"p1k_00685","Cra",-12.4471656805641
"p1k_00699","Cra",-10.1217870709926
"p1k_00052","Cra",-8.97623724566652
"p1k_00251","Cra",-10.0116589027092
"p1k_00793","Cra",-9.10568446577911
"p1k_01022","Cra",-7.99125052024255
"p1k_00196","Cra",-6.28635837393587
"p1k_00875","Cra",-12.4473502897456
