"sample","gene","Val"
"p1k_00459","b2169",0.000632177395102385
"p1k_00459","b2168",2.26818057791472E-5
"p1k_00459","b2925",0.153654773138107
"p1k_00459","b3916",2.26818057791472E-5
"p1k_00459","b2167",0.0414573854964725
"p1k_00459","b2927",0.160438068777654
"p1k_00459","b2926",2.26818057791472E-5
"p1k_00778","b2169",0.000632176227254784
"p1k_00778","b2168",2.26817638781038E-5
"p1k_00778","b2925",0.153654489285252
"p1k_00778","b3916",2.26817638781038E-5
"p1k_00778","b2167",0.0414573089105196
"p1k_00778","b2927",0.160437772393735
"p1k_00778","b2926",2.26817638781038E-5
"p1k_00922","b2169",0.000632188357286518
"p1k_00922","b2168",2.26821990898435E-5
"p1k_00922","b2925",0.153657437567314
"p1k_00922","b3916",2.26821990898435E-5
"p1k_00922","b2167",0.0414581043824956
"p1k_00922","b2927",0.160440850831655
"p1k_00922","b2926",2.26821990898435E-5
"p1k_00662","b2169",0.000689134531305776
"p1k_00662","b2168",2.47253630323966E-5
"p1k_00662","b2925",0.167498570638191
"p1k_00662","b3916",2.47253630323966E-5
"p1k_00662","b2167",0.0451925616838093
"p1k_00662","b2927",0.174893019249424
"p1k_00662","b2926",2.47253630323966E-5
"p1k_00685","b2169",0.000632176343358127
"p1k_00685","b2168",2.26817680437597E-5
"p1k_00685","b2925",0.153654517504915
"p1k_00685","b3916",2.26817680437597E-5
"p1k_00685","b2167",0.0414573165244284
"p1k_00685","b2927",0.160437801859192
"p1k_00685","b2926",2.26817680437597E-5
"p1k_00969","b2169",0.000635284477087883
"p1k_00969","b2168",2.27932843462091E-5
"p1k_00969","b2925",0.154409969355658
"p1k_00969","b3916",2.27932843462091E-5
"p1k_00969","b2167",0.0416611439614854
"p1k_00969","b2927",0.161226604143121
"p1k_00969","b2926",2.27932843462091E-5
"p1k_00104","b2169",0.000632298625105844
"p1k_00104","b2168",2.26861553737616E-5
"p1k_00104","b2925",0.153684238868491
"p1k_00104","b3916",2.26861553737616E-5
"p1k_00104","b2167",0.0414653356051383
"p1k_00104","b2927",0.160468835312148
"p1k_00104","b2926",2.26861553737616E-5
"p1k_00117","b2169",0.00164974252747056
"p1k_00117","b2168",5.91908851591039E-5
"p1k_00117","b2925",0.400980509202993
"p1k_00117","b3916",5.91908851591039E-5
"p1k_00117","b2167",0.10818800618487
"p1k_00117","b2927",0.418682330526664
"p1k_00117","b2926",5.91908851591039E-5
"p1k_00923","b2169",0.00102024095472568
"p1k_00923","b2168",3.66050848421618E-5
"p1k_00923","b2925",0.247976111862068
"p1k_00923","b3916",3.66050848421618E-5
"p1k_00923","b2167",0.06690609769826
"p1k_00923","b2927",0.25892334925634
"p1k_00923","b2926",3.66050848421618E-5
"p1k_00057","b2169",0.00063412701809076
"p1k_00057","b2168",2.27517560341033E-5
"p1k_00057","b2925",0.154128641517939
"p1k_00057","b3916",2.27517560341033E-5
"p1k_00057","b2167",0.0415852392799643
"p1k_00057","b2927",0.160932856711425
"p1k_00057","b2926",2.27517560341033E-5
"p1k_00914","b2169",0.000632187891120641
"p1k_00914","b2168",2.26821823643421E-5
"p1k_00914","b2925",0.153657324262706
"p1k_00914","b3916",2.26821823643421E-5
"p1k_00914","b2167",0.0414580738119333
"p1k_00914","b2927",0.160440732525064
"p1k_00914","b2926",2.26821823643421E-5
"p1k_00382","b2169",0.000632188140017457
"p1k_00382","b2168",2.26821912944767E-5
"p1k_00382","b2925",0.153657384758675
"p1k_00382","b3916",2.26821912944767E-5
"p1k_00382","b2167",0.0414580901342683
"p1k_00382","b2927",0.160440795691708
"p1k_00382","b2926",2.26821912944767E-5
"p1k_00171","b2169",0.000633295199179445
"p1k_00171","b2168",2.27219113178321E-5
"p1k_00171","b2925",0.153926462593004
"p1k_00171","b3916",2.27219113178321E-5
"p1k_00171","b2167",0.0415306896590244
"p1k_00171","b2927",0.160721752327215
"p1k_00171","b2926",2.27219113178321E-5
"p1k_00430","b2169",0.000632176343327758
"p1k_00430","b2168",2.26817680426701E-5
"p1k_00430","b2925",0.153654517497533
"p1k_00430","b3916",2.26817680426701E-5
"p1k_00430","b2167",0.0414573165224368
"p1k_00430","b2927",0.160437801851485
"p1k_00430","b2926",2.26817680426701E-5
"p1k_00910","b2169",0.000632176343336201
"p1k_00910","b2168",2.2681768042973E-5
"p1k_00910","b2925",0.153654517499585
"p1k_00910","b3916",2.2681768042973E-5
"p1k_00910","b2167",0.0414573165229905
"p1k_00910","b2927",0.160437801853628
"p1k_00910","b2926",2.2681768042973E-5
"p1k_00948","b2169",0.000906813196352269
"p1k_00948","b2168",3.25354259057281E-5
"p1k_00948","b2925",0.220406767220113
"p1k_00948","b3916",3.25354259057281E-5
"p1k_00948","b2167",0.059467650292013
"p1k_00948","b2927",0.230136918991364
"p1k_00948","b2926",3.25354259057281E-5
"p1k_01037","b2169",0.000632300175184354
"p1k_01037","b2168",2.26862109888151E-5
"p1k_01037","b2925",0.153684615625021
"p1k_01037","b3916",2.26862109888151E-5
"p1k_01037","b2167",0.0414654372573056
"p1k_01037","b2927",0.160469228701099
"p1k_01037","b2926",2.26862109888151E-5
"p1k_00748","b2169",0.000632176227254765
"p1k_00748","b2168",2.26817638781031E-5
"p1k_00748","b2925",0.153654489285247
"p1k_00748","b3916",2.26817638781031E-5
"p1k_00748","b2167",0.0414573089105183
"p1k_00748","b2927",0.16043777239373
