,b1817,b1818,b1819,b1101
starve_series__t00_growth1,0.6047197763030406,0.7249666330604017,0.7889975346197348,1.581081256681338
starve_series__t01_starve,3.4960265582565184,5.0841510368169605,6.692426693200255,1.1166631045512927
starve_series__t02_starve,1.4654910300246835,1.8083338890206724,2.478603652602001,0.469675606379358
starve_series__t03_starve,1.639777491900268,1.828376489469761,2.108581954393105,0.7607560587297906
starve_series__t04_starve,1.514612706600055,1.7705131140131556,1.9959911069996596,0.8113965297290816
starve_series__t05_starve,1.71559263260061,1.9131944941986887,2.1469670853868257,0.8124190151005314
starve_series__t06_starve,1.664693012821182,1.9780467210055568,2.3064932994682064,1.0104368107882846
starve_series__t07_starve,1.6134573355029966,1.8530984189777115,2.264145971818156,0.9877608379788864
starve_series__t08_starve,1.622422440643679,1.9098993418159076,2.3501663754723823,1.1249744833409423
starve_series__t09_starve,1.578336323502876,2.014288888699733,2.398043210995619,1.1745769202416565
starve_series__t10_starve,1.6708040556641202,1.7634596140125345,2.3540658134223733,1.0827007511606133
starve_series__t11_starve,2.0362710534357715,2.1210971124247164,2.7332263812646267,1.232554539270625
starve_series__t12_starve,1.6848116151303991,2.097006787859493,2.798149132393432,1.3346929462153956
starve_series__t14_starve,2.062214339326803,2.39329990114347,3.3402005600683835,1.474156776636253
starve_series__t16_starve,1.9030954073900337,2.602080572877526,3.895981853388267,1.5388362125650776
starve_series__t17_starve,1.9876155454651565,2.8494519119993518,4.040866702078088,1.6631358353046897
starve_series__t18_starve,1.8854178319903483,2.648251631422887,3.985950938750232,1.3532690245425327
starve_series__t21_growth2,0.0455181198034965,0.0656694182390891,0.0822061344151129,0.3745497223732872
starve_series__t22_growth2,0.0624296571045559,0.112906219810301,0.1598982939141434,0.2634531707253401
starve_series__t23_growth2,0.0763618528868748,0.1252661190516617,0.1465906731024718,0.2959743999706318
starve_series__t25_growth2,0.2471412517047889,0.2532644059327218,0.2606556919972118,1.015900106920984
starve_series__t26_growth2,0.4563914253916624,0.3749675665113297,0.3562526880622064,1.5719298378962463
starve_series__t27_growth2,0.5331215383865946,0.4902276936680724,0.469077450787642,1.7530108072289572
starve_series__t28_growth2,0.8020076857048111,0.877791671590247,0.944069822367264,1.8324697146781144
p1k_00001,0.7936682147899548,0.7860758811737932,0.8633003981689944,1.5239648524403069
p1k_00002,0.8800673390252393,0.793209216600026,0.8397817068012108,1.6230160423921458
p1k_00003,0.2299731838757798,0.2795071343339722,0.2638553343808253,0.3832462352466043
p1k_00004,0.2044739384481022,0.2643056449480243,0.2896144670554329,0.4050754492080686
p1k_00005,0.7104285989638326,0.7096243568188154,0.8018456926650808,1.3783569710972852
p1k_00006,0.7267292427529234,0.7888286625787224,0.8177993112836218,1.4623918547615766
p1k_00007,0.2618207528317068,0.3065693271669933,0.3199604218084156,0.4234543549884759
p1k_00008,0.268397666752619,0.2777733013451569,0.3176532735710343,0.5025245487497066
p1k_00009,0.6867451925057388,0.7167945736921584,0.7536507992052378,1.434805728084423
p1k_00010,0.6490113182364748,0.6967939680031338,0.7667362193011316,1.3518482848401965
p1k_00011,0.4395528282034531,0.497281138861247,0.5208987019169354,1.0512329962502824
p1k_00012,0.4441501039496141,0.5077146044458247,0.5156450223909481,1.0323357903571275
p1k_00013,0.401649889577954,0.4509287392597192,0.464712888920483,0.9926612673055226
p1k_00014,0.427993386531227,0.5179521907087061,0.5584360440930949,1.1267924248718493
p1k_00015,0.4973454157976837,0.5468075529993486,0.5539344923370382,1.005575203595871
p1k_00016,0.4846530323369007,0.5181913135818659,0.5372373869010798,1.0091983607176922
p1k_00017,0.5148412226629526,0.5573480730704952,0.5885912514524873,1.036970330671292
p1k_00018,0.523022618373798,0.5644803994372544,0.5833112439390928,1.055306147616765
p1k_00019,0.6464881893999312,0.7098533483731247,0.6862400969411968,0.586690106172775
p1k_00020,0.6077391663935707,0.7247289397333966,0.7532464716031484,0.6364759551515942
p1k_00021,0.4897556597909851,0.5503179241894585,0.5961673135342559,0.7178280657113413
p1k_00022,0.4933674196175187,0.5452930931248562,0.5901357330132355,0.7213576275428399
p1k_00023,0.5931122330249083,0.6685154005059912,0.679070881912469,0.4268283412816859
p1k_00024,0.5820821947786065,0.6371673152518931,0.6574187323667673,0.4185724450226546
p1k_00025,0.5874963749888198,0.6838837540271834,0.7174301927977896,0.4306332174329
p1k_00026,0.6096889474876055,0.7176369040450606,0.7431627115917606,0.4238878935491333
p1k_00027,0.2542905939957398,0.2726871144686057,0.3312401988410407,0.6132576025133525
p1k_00028,0.258939800730473,0.2853146704218401,0.3183199672882066,0.6152154949934596
p1k_00029,0.3406772794239439,0.3663162656505034,0.4395778804984024,0.8539088686206493
p1k_00030,0.3480829755788748,0.3983266178636543,0.4121791764573322,0.856274715736665
p1k_00031,0.3647968441641258,0.3657227212831171,0.4309997569916492,0.4350061769402585
p1k_00032,0.3627974281918548,0.3766637226998405,0.4133711597950044,0.415419584162678
p1k_00033,0.1394097629825705,0.1815629966495333,0.1755918592943421,0.2439565649011758
p1k_00034,0.1058684937364567,0.2214041396617276,0.2006471563587786,0.2946506099913047
p1k_00035,0.3877928653604814,0.4238216794890135,0.417126983279362,0.7568462983103933
p1k_00036,0.3927955882545765,0.4682672761380884,0.4375656076862567,0.7589920087324107
p1k_00037,0.3230314790786056,0.3722564878335861,0.3687382589148708,0.3828687642286223
p1k_00038,0.334188829683724,0.3572082254603064,0.3260870515541512,0.3817885088573202
p1k_00039,0.7694577301644757,0.8188680465649021,0.7811945757651191,1.6434691551752096
p1k_00040,0.7702851705071894,0.8591812174248731,0.8095572223494079,1.7001630250696342
p1k_00041,0.793925675598924,0.8930102562804637,0.8034018184777754,0.9425265073412172
p1k_00042,0.6789348813146528,0.783150078429468,0.7097544586278121,1.269745587107635
p1k_00043,0.7846471866062276,0.8107184051441682,0.717078347228836,1.762176094284434
p1k_00044,0.7929538656769484,0.8014357126393218,0.714577794502969,1.7538851273907703
p1k_00045,0.7359493522010205,0.7436781051156957,0.6575694173825303,1.852773970173612
p1k_00046,0.723718185481776,0.7918770762372324,0.6580387163769776,1.8418503532095976
p1k_00047,0.7149549800991132,0.7876813191946236,0.6537804491181625,1.6514440010632274
p1k_00048,0.7404506247359073,0.719779302109631,0.631765274301862,1.4617236048383964
p1k_00049,0.4097640331148571,0.4449585174420136,0.4063707061200846,0.7486880808657569
p1k_00050,0.8640495140522154,0.7679097086717724,0.4085396901645178,1.7110463012884602
p1k_00051,1.0164406136207431,0.6851933553055086,0.4254698617420906,1.4834635716225502
p1k_00052,0.8276299310527787,0.7605342499764487,0.6275300517635005,2.0143957718449146
p1k_00053,0.8141844522495526,0.7685962257140708,0.6152232676712222,2.008399192407573
p1k_00054,2.421939085364231,1.3304907856766346,0.5724119650690439,2.280078586493625
p1k_00055,2.5350213716374936,1.380895320040105,0.6311034770411164,2.402200665155842
p1k_00056,0.5162656739936655,0.4779325496662739,0.5127579975903399,0.272354565972176
p1k_00057,0.5312720193106877,0.4980765713948993,0.4970891803449651,0.2689823129559716
p1k_00058,0.3048909142954201,0.3056607401959905,0.3362905234720487,0.2369967492923474
p1k_00059,0.3023721750874555,0.2850215173510484,0.3402615051410323,0.2425910213000952
p1k_00060,0.3964263659122412,0.3969390688108537,0.4383017508473663,1.2239713087082906
p1k_00061,0.4126497761872449,0.4129380954329951,0.4476350219393826,1.2413442761372897
p1k_00062,0.2579207724782066,0.2782303916496114,0.3103570075485499,0.3048733723643612
p1k_00063,0.2749184041427567,0.2626363206253085,0.2812140228727143,0.3202059360008628
p1k_00064,0.2233253637652585,0.2100607199017874,0.2034344122257095,0.2128636973886473
p1k_00065,0.2386718324946304,0.25759427978379,0.2364335911241764,0.2405865651817929
p1k_00066,0.2472013109107767,0.2408204077275322,0.2282095722739372,0.2623502329293419
