"sample","iM","Val"
"p1k_00459","DNA Damage",-9.75076965932089
"p1k_00778","DNA Damage",-9.82663954354642
"p1k_00922","DNA Damage",-9.8349938002344
"p1k_00662","DNA Damage",-9.62353144340936
"p1k_00685","DNA Damage",-9.6435128120775
"p1k_00969","DNA Damage",-9.99326707063769
"p1k_00104","DNA Damage",-9.82423796915062
"p1k_00117","DNA Damage",-9.71525318041468
"p1k_00923","DNA Damage",-9.87090646529378
"p1k_00057","DNA Damage",-9.89099455063611
"p1k_00914","DNA Damage",-9.94320454859076
"p1k_00382","DNA Damage",-9.00104149902504
"p1k_00171","DNA Damage",-9.91171520592822
"p1k_00430","DNA Damage",-10.0017353191466
"p1k_00910","DNA Damage",-9.85920713704323
"p1k_00948","DNA Damage",-9.89253482015533
"p1k_01037","DNA Damage",-9.96594026033994
"p1k_00748","DNA Damage",-9.73755892119429
"p1k_01038","DNA Damage",-9.94510823429129
"p1k_00336","DNA Damage",-9.97651325461571
"p1k_00850","DNA Damage",-9.02254627864684
"p1k_00811","DNA Damage",-9.91886433774889
"p1k_00474","DNA Damage",-9.75173405830533
"p1k_00195","DNA Damage",-9.90973959183521
"p1k_00271","DNA Damage",-9.72601055849658
"p1k_00477","DNA Damage",-9.86323245388081
"p1k_00732","DNA Damage",-9.81123971524482
"p1k_00373","DNA Damage",-9.75006978185112
"p1k_00335","DNA Damage",-9.98754218918511
"p1k_00491","DNA Damage",-9.79138774043196
"p1k_00575","DNA Damage",-9.63179967996245
"p1k_00576","DNA Damage",-9.75489561866571
"p1k_00062","DNA Damage",-9.79911879747699
"p1k_00428","DNA Damage",-9.81643629084248
"p1k_00158","DNA Damage",-9.88263462619967
"p1k_00902","DNA Damage",-9.90377601155755
"p1k_00618","DNA Damage",-9.79797750652846
"p1k_00269","DNA Damage",-9.80597559556783
"p1k_00805","DNA Damage",-9.85845484688585
"p1k_00019","DNA Damage",-9.70737929585527
"p1k_00456","DNA Damage",-9.892727629377
"p1k_00511","DNA Damage",-9.55520005629472
"p1k_00868","DNA Damage",-9.71071106677898
"p1k_00872","DNA Damage",-9.75240129054409
"starve_series__t03_starve","DNA Damage",-9.86948195650532
"p1k_00413","DNA Damage",-9.82688183010457
"p1k_00176","DNA Damage",-9.86633540647535
"p1k_00011","DNA Damage",-9.76057806094894
"starve_series__t25_growth2","DNA Damage",-9.67534734669288
"p1k_00764","DNA Damage",-9.6140001589168
"p1k_00630","DNA Damage",-9.75578105065213
"p1k_00163","DNA Damage",-9.91510850449731
"p1k_00409","DNA Damage",-9.77478492354411
"p1k_00322","DNA Damage",-9.89378967557795
"p1k_00752","DNA Damage",-9.80532704757911
"p1k_00344","DNA Damage",-9.95946148649343
"p1k_00546","DNA Damage",-9.66060696584631
"p1k_00191","DNA Damage",-9.91292792322011
"p1k_01040","DNA Damage",-9.87786675736648
"p1k_00654","DNA Damage",-9.76780515370107
"p1k_00324","DNA Damage",-9.53629908658022
"p1k_00657","DNA Damage",-9.78945213033716
"p1k_00488","DNA Damage",-10.0141921058513
"p1k_00903","DNA Damage",-9.9092924581275
"p1k_00341","DNA Damage",-9.9259575490879
"starve_series__t16_starve","DNA Damage",-9.87717929549549
"p1k_00637","DNA Damage",-9.79760020951882
"p1k_00105","DNA Damage",-9.76776575406187
"p1k_00539","DNA Damage",-9.08400409867875
"p1k_00530","DNA Damage",-9.70379370814901
"p1k_00610","DNA Damage",-9.37452722327023
"p1k_00368","DNA Damage",-10.0123015340433
"p1k_00039","DNA Damage",-9.82388094737607
"p1k_01035","DNA Damage",-9.99574010080027
"p1k_00498","DNA Damage",-9.9589551791749
"p1k_00646","DNA Damage",-9.63825243617388
"p1k_00893","DNA Damage",-9.99611084155064
"starve_series__t06_starve","DNA Damage",-9.87493984554442
"p1k_00506","DNA Damage",-9.73783196513325
"p1k_00003","DNA Damage",-9.58723866576919
"p1k_00015","DNA Damage",-9.75197355774714
"p1k_00961","DNA Damage",-9.88573592738999
"p1k_00056","DNA Damage",-9.90696810425568
"p1k_00482","DNA Damage",-9.87274757717116
"starve_series__t09_starve","DNA Damage",-9.9325198332751
"p1k_00274","DNA Damage",-9.93445162517374
"p1k_00321","DNA Damage",-9.89706043335969
"p1k_00046","DNA Damage",-9.9093816034402
"p1k_00621","DNA Damage",-9.77866120067871
"starve_series__t11_starve","DNA Damage",-9.94295604207965
"p1k_00293","DNA Damage",-9.91235841350905
"p1k_00607","DNA Damage",-9.38968874568242
"p1k_00647","DNA Damage",-9.64884895883418
"p1k_00582","DNA Damage",-9.88802046218739
"p1k_00806","DNA Damage",-9.8381272808287
"p1k_00423","DNA Damage",-9.92804674898006
"p1k_00888","DNA Damage",-9.88683479223734
"p1k_00980","DNA Damage",-9.95619520004441
"p1k_00225","DNA Damage",-9.88226173350009
"p1k_00282","DNA Damage",-9.82183718075803
"p1k_00840","DNA Damage",-9.31449537238888
"p1k_00393","DNA Damage",-10.0141500408797
"p1k_00464","DNA Damage",-9.73105363203207
"p1k_00841","DNA Damage",-9.34367731515305
"p1k_00584","DNA Damage",-9.57799593855159
"p1k_00240","DNA Damage",-9.69182078390963
"p1k_00222","DNA Damage",-9.89183081640948
"p1k_00844","DNA Damage",-8.83796550185195
"p1k_00258","DNA Damage",-9.7841962075196
"p1k_00613","DNA Damage",-9.9238627482736
"p1k_00204","DNA Damage",-9.90502195989401
"p1k_00766","DNA Damage",-9.68622349285202
"p1k_00290","DNA Damage",-10.0523343659635
"p1k_00166","DNA Damage",-9.95598943481872
"p1k_00885","DNA Damage",-9.89378967561174
"p1k_00048","DNA Damage",-9.80929724348404
"p1k_00212","DNA Damage",-9.88856465719655
"p1k_00917","DNA Damage",-9.99029981370218
"p1k_00976","DNA Damage",-9.90725234674676
"p1k_00698","DNA Damage",-9.77894793963798
"p1k_00817","DNA Damage",-9.86263317269569
"p1k_00894","DNA Damage",-9.93497242474145
"p1k_00495","DNA Damage",-10.0281485236129
"p1k_00954","DNA Damage",-9.89476221829792
