"sample","iM","Val"
"p1k_00327","Fatty Acid",-6.42021640338319
"p1k_00010","Fatty Acid",-4.45538944190313
"p1k_00989","Fatty Acid",-2.80248391629487
"p1k_00654","Fatty Acid",-4.13754623688206
"p1k_00032","Fatty Acid",-4.26927040838837
"p1k_00248","Fatty Acid",-2.96673865114126
"p1k_00356","Fatty Acid",-4.3367128575471
"p1k_00151","Fatty Acid",-4.87002066081205
"p1k_00529","Fatty Acid",-5.04481512122249
"p1k_00586","Fatty Acid",-4.59836373329391
"p1k_00051","Fatty Acid",-4.00609496216837
"p1k_01001","Fatty Acid",-2.88570645609673
"p1k_00932","Fatty Acid",-4.00483353244676
"p1k_00027","Fatty Acid",-4.11490677042999
"p1k_00060","Fatty Acid",-3.88199725766366
"p1k_00286","Fatty Acid",-4.93740799887478
"p1k_00282","Fatty Acid",-4.66598023406082
"starve_series__t05_starve","Fatty Acid",-1.89485613871238
"p1k_00474","Fatty Acid",-4.67430095809005
"p1k_00961","Fatty Acid",-3.85921519651343
"p1k_00240","Fatty Acid",-2.71155528987584
"p1k_00724","Fatty Acid",-4.38934710298418
"p1k_00902","Fatty Acid",-3.30197530988134
"p1k_00413","Fatty Acid",-6.42021640338319
"p1k_00274","Fatty Acid",-4.66835872643335
"p1k_00438","Fatty Acid",-6.42021640338319
"p1k_00574","Fatty Acid",-3.4608316657242
"p1k_00890","Fatty Acid",-3.5996249070671
"starve_series__t12_starve","Fatty Acid",-1.90395597815924
"p1k_00181","Fatty Acid",-4.95661364115057
"p1k_00993","Fatty Acid",-2.9508673319612
"p1k_00659","Fatty Acid",-4.00975724546332
"p1k_01050","Fatty Acid",-3.46125004529286
"p1k_00318","Fatty Acid",-4.99967478476931
"p1k_00182","Fatty Acid",-5.14790276553257
"p1k_00428","Fatty Acid",-5.58427447351643
"p1k_00931","Fatty Acid",-4.28414395989672
"p1k_00483","Fatty Acid",-4.43814497339336
"p1k_00997","Fatty Acid",-4.45990931797811
"p1k_00471","Fatty Acid",-3.56880862252494
"p1k_00694","Fatty Acid",-3.76421815547889
"p1k_00554","Fatty Acid",-3.70054493914686
"p1k_00730","Fatty Acid",-4.26846493464126
"p1k_00449","Fatty Acid",-4.76408764499942
"p1k_00421","Fatty Acid",-6.42021640338319
"p1k_00800","Fatty Acid",-4.7865287462005
"p1k_00284","Fatty Acid",-6.42021640338319
"p1k_00187","Fatty Acid",-5.48921644025061
"p1k_00288","Fatty Acid",-5.2799287769109
"p1k_00062","Fatty Acid",-2.77185744695586
"p1k_00947","Fatty Acid",-3.81737521536099
"p1k_00559","Fatty Acid",-4.85001769240749
"p1k_01021","Fatty Acid",-2.83698422195281
"p1k_00955","Fatty Acid",-2.71570177661255
"p1k_00186","Fatty Acid",-5.28543159293818
"p1k_00686","Fatty Acid",-4.16317079195834
"p1k_00657","Fatty Acid",-3.9839791498985
"p1k_00153","Fatty Acid",-6.42021640338319
"p1k_00235","Fatty Acid",-2.81132240503892
"p1k_01048","Fatty Acid",-3.26730530943125
"p1k_00306","Fatty Acid",-5.62710166258153
"p1k_00024","Fatty Acid",-3.46510503423038
"p1k_00218","Fatty Acid",-5.25242366518704
"p1k_00540","Fatty Acid",-3.06352898544479
"p1k_00957","Fatty Acid",-2.77957644063642
"p1k_01012","Fatty Acid",-3.9656685976298
"p1k_00281","Fatty Acid",-4.66648907354885
"p1k_00391","Fatty Acid",-6.42021640338319
"p1k_00854","Fatty Acid",-2.26134802039138
"p1k_01005","Fatty Acid",-2.80859818824566
"p1k_00489","Fatty Acid",-5.36806677988365
"p1k_00086","Fatty Acid",-3.03411648694098
"p1k_00673","Fatty Acid",-4.07709168234512
"p1k_00247","Fatty Acid",-3.09731548420934
"p1k_00905","Fatty Acid",-2.92563080284237
"p1k_00197","Fatty Acid",-6.42021640338319
"p1k_00352","Fatty Acid",-4.00300465032402
"p1k_00202","Fatty Acid",-4.81900440362011
"p1k_00777","Fatty Acid",-6.42021640338319
"p1k_00760","Fatty Acid",-6.42021640338319
"p1k_00522","Fatty Acid",-3.57162759696334
"p1k_00296","Fatty Acid",-6.42021640338319
"p1k_01049","Fatty Acid",-3.32531725174527
"p1k_00977","Fatty Acid",-4.44761678248228
"p1k_00266","Fatty Acid",-4.9812306817375
"p1k_00754","Fatty Acid",-6.42021640338319
"p1k_00638","Fatty Acid",-3.98956584388731
"p1k_00376","Fatty Acid",-4.59637319053523
"p1k_00038","Fatty Acid",-4.08444004309199
"p1k_00669","Fatty Acid",-3.90867215378154
"p1k_00885","Fatty Acid",-6.42021640338319
"p1k_00946","Fatty Acid",-2.90055797780869
"p1k_01015","Fatty Acid",-3.09103973316121
"p1k_00566","Fatty Acid",-4.49897547025191
"p1k_00674","Fatty Acid",-4.12957160914179
"p1k_00280","Fatty Acid",-3.42802550168187
"p1k_00968","Fatty Acid",-2.84825958038315
"p1k_00472","Fatty Acid",-3.54904639526094
"p1k_00482","Fatty Acid",-4.19010163269486
"starve_series__t28_growth2","Fatty Acid",-2.01852759694202
"p1k_01035","Fatty Acid",-2.72442396835555
"p1k_00478","Fatty Acid",-5.010737261474
"p1k_00493","Fatty Acid",-4.11426700966072
"p1k_00353","Fatty Acid",-4.11595618618146
"p1k_00096","Fatty Acid",-3.12503376763432
"p1k_00552","Fatty Acid",-3.63978323892818
"p1k_00102","Fatty Acid",-4.49928811607679
"p1k_00733","Fatty Acid",-4.16973196844747
"p1k_00427","Fatty Acid",-4.94476185575031
"p1k_00031","Fatty Acid",-4.19865829426155
"p1k_00411","Fatty Acid",-6.42021640338319
"p1k_00484","Fatty Acid",-4.55709794934136
"p1k_00268","Fatty Acid",-4.74936282520913
"p1k_00305","Fatty Acid",-4.48062765175791
"p1k_00255","Fatty Acid",-4.72803444797921
"p1k_00547","Fatty Acid",-4.20853352435009
"p1k_00817","Fatty Acid",-4.50323046808441
"p1k_00084","Fatty Acid",-3.18214880323813
"p1k_00117","Fatty Acid",-4.28303784292227
"p1k_01043","Fatty Acid",-3.04608806806214
"p1k_00343","Fatty Acid",-4.67701291173795
"p1k_00624","Fatty Acid",-4.01650328697975
"p1k_00232","Fatty Acid",-3.28369406330695
"p1k_00978","Fatty Acid",-4.45883059048671
"p1k_00705","Fatty Acid",-3.78005995309354
"p1k_00033","Fatty Acid",-4.2784092867055
"p1k_00814","Fatty Acid",-4.9171310587521
"p1k_00262","Fatty Acid",-5.19297707596879
"p1k_00805","Fatty Acid",-4.8154973832072
"p1k_00525","Fatty Acid",-4.84476584737385
"p1k_00569","Fatty Acid",-4.2459344895476
"p1k_00871","Fatty Acid",-4.58302626363604
"p1k_00855","Fatty Acid",-1.64076294917747
"p1k_00047","Fatty Acid",-2.68473936277449
"p1k_00171","Fatty Acid",-3.96708340745323
"p1k_00609","Fatty Acid",-4.29920475885319
"p1k_00937","Fatty Acid",-4.02990435616679
"p1k_00579","Fatty Acid",-6.42021640338319
"p1k_00849","Fatty Acid",-2.32380063610101
"p1k_00018","Fatty Acid",-4.30151514469617
"p1k_00129","Fatty Acid",-6.42021640338319
"p1k_00400","Fatty Acid",-6.42021640338319
"p1k_00360","Fatty Acid",-5.58947387983545
"p1k_00807","Fatty Acid",-4.54895469377378
"p1k_00683","Fatty Acid",-4.53267145975478
"p1k_00345","Fatty Acid",-4.43043256032056
"p1k_00896","Fatty Acid",-3.38345916037496
"p1k_00672","Fatty Acid",-4.05046571859311
"p1k_00294","Fatty Acid",-6.42021640338319
"p1k_00769","Fatty Acid",-4.3100572660087
"p1k_00222","Fatty Acid",-4.0008986829379
"p1k_00804","Fatty Acid",-4.96940370258752
"p1k_00761","Fatty Acid",-3.23213058468381
"p1k_00406","Fatty Acid",-6.42021640338319
"p1k_00597","Fatty Acid",-3.25035419145543
"p1k_01045","Fatty Acid",-3.91041041249502
"p1k_00071","Fatty Acid",-4.75207140315012
"p1k_00719","Fatty Acid",-4.23859505345544
"p1k_00933","Fatty Acid",-3.98170708508851
"p1k_00726","Fatty Acid",-4.66153356568235
"p1k_00159","Fatty Acid",-6.42021640338319
"p1k_00951","Fatty Acid",-2.85560085012751
"p1k_00605","Fatty Acid",-4.13463705170156
"p1k_00002","Fatty Acid",-4.11349603300307
"p1k_00599","Fatty Acid",-3.41862324416407
"p1k_00379","Fatty Acid",-6.05640493104401
"p1k_00647","Fatty Acid",-4.08231132669275
"p1k_00587","Fatty Acid",-4.41789010738616
"p1k_00023","Fatty Acid",-3.36893222937854
"p1k_00409","Fatty Acid",-6.42021640338319
"p1k_00914","Fatty Acid",-4.42912968131435
"p1k_00965","Fatty Acid",-1.9323160666044
"p1k_00297","Fatty Acid",-4.56530441759272
"p1k_00487","Fatty Acid",-4.05487971297618
"p1k_00516","Fatty Acid",-6.42021640338319
"p1k_00996","Fatty Acid",-4.51021428773647
"p1k_00260","Fatty Acid",-4.94826642912157
"p1k_00863","Fatty Acid",-4.64614239264813
"p1k_00633","Fatty Acid",-4.03967259670236
"p1k_00740","Fatty Acid",-4.81370676922067
"p1k_00368","Fatty Acid",-6.42021640338319
"p1k_00423","Fatty Acid",-6.42021640338319
"p1k_00695","Fatty Acid",-3.79421030745939
"p1k_01024","Fatty Acid",-2.95601111335121
"p1k_00111","Fatty Acid",-4.32485914139671
"p1k_00025","Fatty Acid",-3.23039042276665
"p1k_00515","Fatty Acid",-6.42021640338319
"p1k_00097","Fatty Acid",-3.353498735577
"p1k_00201","Fatty Acid",-4.50854270112859
"p1k_00736","Fatty Acid",-4.83769003371703
"p1k_00198","Fatty Acid",-6.42021640338319
"p1k_00192","Fatty Acid",-5.17276676830204
"p1k_00541","Fatty Acid",-2.95054744803656
"starve_series__t08_starve","Fatty Acid",-1.91300883345548
"p1k_00685","Fatty Acid",-4.10017473295572
"p1k_00380","Fatty Acid",-6.42021640338319
"p1k_00361","Fatty Acid",-5.50713422887506
"p1k_00768","Fatty Acid",-4.00175270178794
"p1k_00919","Fatty Acid",-4.30205956791066
"p1k_00056","Fatty Acid",-2.69524502357656
"p1k_00872","Fatty Acid",-3.36382017313889
"p1k_00446","Fatty Acid",-6.42021640338319
"p1k_00692","Fatty Acid",-3.7096341238191
"p1k_00922","Fatty Acid",-4.96588620383465
"p1k_00589","Fatty Acid",-3.99651678810584
