"gene","iM","Val"
"b1878","FlhDC-1",-5
"b1878","FlhDC-2",-10.0274990147442
"b1880","FlhDC-1",-5
"b1880","FlhDC-2",-10.0538362827041
"b1879","FlhDC-1",-3
"b1879","FlhDC-2",-9.83616096011374
"b1081","FlhDC-1",-8
"b1081","FlhDC-2",-10.2633823803741
"b1940","FlhDC-1",-8
"b1940","FlhDC-2",-10.6116777122825
"b1904","FlhDC-1",-10
"b1904","FlhDC-2",-10.3647111243373
"b1946","FlhDC-1",-8
"b1946","FlhDC-2",-10.6222867021808
"b1937","FlhDC-1",-9
"b1937","FlhDC-2",-10.3872187237068
"b1939","FlhDC-1",-8
"b1939","FlhDC-2",-10.5742746411814
"b1948","FlhDC-1",-10
"b1948","FlhDC-2",-10.2648128569723
"b1072","FlhDC-1",-7
"b1072","FlhDC-2",-10.3948503012918
"b1950","FlhDC-1",-6
"b1950","FlhDC-2",-9.9027738339568
"b1080","FlhDC-1",-8
"b1080","FlhDC-2",-10.4062196520479
"b1949","FlhDC-1",-5
"b1949","FlhDC-2",-10.1370683179596
"b1947","FlhDC-1",-10
"b1947","FlhDC-2",-10.4310937858973
