"sample","gene","Val"
"p1k_00192","b3727",0.0365786330603306
"p1k_00192","b3724",0.0213623359320922
"p1k_00192","b3728",0.00454429002444376
"p1k_00192","b3726",0.018064683680034
"p1k_00192","b3725",0.0293142094580237
"p1k_00081","b3727",0.0469154971362702
"p1k_00081","b3724",0.0273991816094687
"p1k_00081","b3728",0.00582847437947003
"p1k_00081","b3726",0.0231696360566679
"p1k_00081","b3725",0.0375981985880012
"p1k_00595","b3727",0.0161598605784346
"p1k_00595","b3724",0.00943754157578609
"p1k_00595","b3728",0.00200759533856454
"p1k_00595","b3726",0.00798069105484047
"p1k_00595","b3725",0.0129505533196765
"p1k_00883","b3727",0.0573747223422341
"p1k_00883","b3724",0.0335074875724249
"p1k_00883","b3728",0.00712786008063824
"p1k_00883","b3726",0.0283350175670252
"p1k_00883","b3725",0.0459802482384234
"p1k_00908","b3727",0.00869667617194522
"p1k_00908","b3724",0.00507895736757846
"p1k_00908","b3728",0.00108041814216529
"p1k_00908","b3726",0.0042949309739039
"p1k_00908","b3725",0.00696953837702271
"p1k_01004","b3727",0.0257906420671521
"p1k_01004","b3724",0.0150620270263831
"p1k_01004","b3728",0.00320406061310317
"p1k_01004","b3726",0.0127369382579074
"p1k_01004","b3725",0.0206686860705391
"p1k_00643","b3727",0.0504972616803184
"p1k_00643","b3724",0.0294909726639189
"p1k_00643","b3728",0.00627344936966661
"p1k_00643","b3726",0.0249385223733839
"p1k_00643","b3725",0.0404686337926295
"p1k_00306","b3727",0.014460078968084
"p1k_00306","b3724",0.0084448498666232
"p1k_00306","b3728",0.00179642559356862
"p1k_00306","b3726",0.00714123876952741
"p1k_00306","b3725",0.0115883440190574
"starve_series__t11_starve","b3727",0.0068425941638524
"starve_series__t11_starve","b3724",0.00399615247880088
"starve_series__t11_starve","b3728",0.000850079125396123
"starve_series__t11_starve","b3726",0.00337927606307667
"starve_series__t11_starve","b3725",0.00548367234567203
"p1k_00803","b3727",0.0458529520151221
"p1k_00803","b3724",0.0267786432262127
"p1k_00803","b3728",0.00569647072622824
"p1k_00803","b3726",0.0226448886863207
"p1k_00803","b3725",0.0367466722286492
"p1k_01003","b3727",0.0275775288366967
"p1k_01003","b3724",0.0161055891349142
"p1k_01003","b3728",0.0034260517331174
"p1k_01003","b3726",0.0136194082017848
"p1k_01003","b3725",0.0221007016670161
"p1k_00987","b3727",0.0292936895462625
"p1k_00987","b3724",0.0171078464234994
"p1k_00987","b3728",0.00363925631022555
"p1k_00987","b3726",0.0144669494511058
"p1k_00987","b3725",0.0234760372193552
"p1k_00971","b3727",0.00620810750976874
"p1k_00971","b3724",0.00362560508774314
"p1k_00971","b3728",0.00077125465516402
"p1k_00971","b3726",0.00306592917867233
"p1k_00971","b3725",0.00497519312925485
"p1k_00996","b3727",0.028634566190398
"p1k_00996","b3724",0.0167229109196101
"p1k_00996","b3728",0.00355737113737088
"p1k_00996","b3726",0.0141414355121301
"p1k_00996","b3725",0.0229478140875444
"p1k_00747","b3727",0.0823180803494612
"p1k_00747","b3724",0.0480746911129722
"p1k_00747","b3728",0.0102266596662165
"p1k_00747","b3726",0.0406535170466317
"p1k_00747","b3725",0.0659699187109186
"p1k_00177","b3727",0.0435835203205596
"p1k_00177","b3724",0.0254532694170214
"p1k_00177","b3728",0.00541453138219241
"p1k_00177","b3726",0.0215241096340227
"p1k_00177","b3725",0.0349279439034174
"p1k_00772","b3727",0.0471009841478211
"p1k_00772","b3724",0.027507508124712
"p1k_00772","b3728",0.0058515180720778
"p1k_00772","b3726",0.0232612404691372
"p1k_00772","b3725",0.0377468483502648
"p1k_00519","b3727",0.108068698346565
"p1k_00519","b3724",0.0631133436292054
"p1k_00519","b3728",0.0134257479507486
"p1k_00519","b3726",0.0533706890611201
"p1k_00519","b3725",0.086606529390045
"p1k_00578","b3727",0.00981115048908331
"p1k_00578","b3724",0.00572982298935076
"p1k_00578","b3728",0.00121887313892573
"p1k_00578","b3726",0.00484532404013511
"p1k_00578","b3725",0.00786268092596078
"p1k_00722","b3727",0.0389272252859169
"p1k_00722","b3724",0.0227339403878335
"p1k_00722","b3728",0.00483606375487855
"p1k_00722","b3726",0.0192245568655253
"p1k_00722","b3725",0.0311963772339155
"p1k_00494","b3727",0.0161145780799909
"p1k_00494","b3724",0.00941109608390551
"p1k_00494","b3728",0.00200196973725734
"p1k_00494","b3726",0.00795832788973043
"p1k_00494","b3725",0.0129142638103891
"p1k_00110","b3727",0.062623377088852
"p1k_00110","b3724",0.0365727613814241
"p1k_00110","b3728",0.00777991860254818
"p1k_00110","b3726",0.0309271124544142
"p1k_00110","b3725",0.0501865334859187
"p1k_00152","b3727",0.0620833876842482
"p1k_00152","b3724",0.0362574014541712
"p1k_00152","b3728",0.00771283385226243
"p1k_00152","b3726",0.0306604338781906
"p1k_00152","b3725",0.0497537846052931
"p1k_00115","b3727",0.0811026010552663
"p1k_00115","b3724",0.0473648374407951
"p1k_00115","b3728",0.0100756564720179
"p1k_00115","b3726",0.0400532417730028
"p1k_00115","b3725",0.0649958305167766
"p1k_00571","b3727",0.01562314354574
"p1k_00571","b3724",0.00912409275078525
"p1k_00571","b3728",0.0019409171263525
"p1k_00571","b3726",0.00771562856862555
"p1k_00571","b3725",0.0125204269262121
"p1k_00381","b3727",0.015265094844962
"p1k_00381","b3724",0.00891498825490501
"p1k_00381","b3728",0.0018964354986075
"p1k_00381","b3726",0.00753880302922025
"p1k_00381","b3725",0.0122334857878303
"p1k_00317","b3727",0.0510493029736463
"p1k_00317","b3724",0.029813371030665
"p1k_00317","b3728",0.00634203136774766
"p1k_00317","b3726",0.0252111528821795
"p1k_00317","b3725",0.0409110410874949
"p1k_00893","b3727",0.0206816654876007
"p1k_00893","b3724",0.0120783268486985
"p1k_00893","b3728",0.00256935479270578
"p1k_00893","b3726",0.0102138246771982
"p1k_00893","b3725",0.016574339260966
"p1k_00767","b3727",0.939910362321891
"p1k_00767","b3724",0.548918295357242
"p1k_00767","b3728",0.116768313247955
"p1k_00767","b3726",0.464183102603278
"p1k_00767","b3725",0.753246552090316
"p1k_01002","b3727",0.0382773756150987
"p1k_01002","b3724",0.0223544208210284
"p1k_01002","b3728",0.00475533068397302
"p1k_01002","b3726",0.0189036228184946
"p1k_01002","b3725",0.0306755860568594
"p1k_00071","b3727",0.0326720560935991
"p1k_00071","b3724",0.0190808507445443
"p1k_00071","b3728",0.00405896246421591
"p1k_00071","b3726",0.0161353858558284
"p1k_00071","b3725",0.0261834687527114
"p1k_01051","b3727",0.0367056603471534
"p1k_01051","b3724",0.0214365213060829
"p1k_01051","b3728",0.00456007106337402
"p1k_01051","b3726",0.0181274172368457
"p1k_01051","b3725",0.0294160094483806
"p1k_00419","b3727",0.0314314044441497
