"sample","iM","Val"
"p1k_00192","SoxS",-8.98713003821681
"p1k_00081","SoxS",-9.002386126575
"p1k_00595","SoxS",-9.06313766691193
"p1k_00883","SoxS",-9.06213912424315
"p1k_00908","SoxS",-9.13621047980974
"p1k_01004","SoxS",-8.95970534095109
"p1k_00643","SoxS",-9.00151844666004
"p1k_00306","SoxS",-9.02218802717247
"starve_series__t11_starve","SoxS",-8.99829244409965
"p1k_00803","SoxS",-9.01956290986796
"p1k_01003","SoxS",-8.9675188167856
"p1k_00987","SoxS",-8.95859204258146
"p1k_00971","SoxS",-8.95168580276339
"p1k_00996","SoxS",-8.92751450801169
"p1k_00747","SoxS",-8.94915074434546
"p1k_00177","SoxS",-9.04542803146295
"p1k_00772","SoxS",-9.0696346145049
"p1k_00519","SoxS",-8.98482660263266
"p1k_00578","SoxS",-9.03728284011497
"p1k_00722","SoxS",-8.76153255077909
"p1k_00494","SoxS",-8.94445598365432
"p1k_00110","SoxS",-8.91791440238219
"p1k_00152","SoxS",-9.08103751448261
"p1k_00115","SoxS",-9.05787420457417
"p1k_00571","SoxS",-8.59883513311341
"p1k_00381","SoxS",-8.95507817255156
"p1k_00317","SoxS",-9.06167838875747
"p1k_00893","SoxS",-9.13829642348267
"p1k_00767","SoxS",-9.01141390643873
"p1k_01002","SoxS",-8.97301940932277
"p1k_00071","SoxS",-8.97087355353068
"p1k_01051","SoxS",-8.98664400650482
"p1k_00419","SoxS",-9.01169678701785
"p1k_00302","SoxS",-9.01713584506846
"p1k_00474","SoxS",-8.96031610113212
"p1k_00440","SoxS",-9.06496823146425
"p1k_00395","SoxS",-8.97257596860333
"p1k_00735","SoxS",-9.01436405702713
"p1k_00045","SoxS",-8.99585903219337
"p1k_00061","SoxS",-8.9515809530209
"p1k_00881","SoxS",-9.02132726871669
"p1k_00020","SoxS",-8.26716648139995
"p1k_00458","SoxS",-9.06262287903362
"p1k_00555","SoxS",-8.2299884622603
"p1k_00559","SoxS",-8.65345468600833
"p1k_01011","SoxS",-8.85244399121234
"p1k_00498","SoxS",-8.83248630384067
"p1k_00940","SoxS",-8.95800195103663
"p1k_01038","SoxS",-8.97938335473985
"p1k_00856","SoxS",-8.66213160603974
"p1k_00755","SoxS",-8.99934759380622
"p1k_00139","SoxS",-8.92397154714968
"p1k_00403","SoxS",-9.02541345502873
"p1k_00454","SoxS",-9.0405833545002
"p1k_00119","SoxS",-8.86051363725477
"p1k_00876","SoxS",-9.07931606208822
"p1k_00890","SoxS",-8.92751979278156
"p1k_00745","SoxS",-8.90867682005751
"p1k_00349","SoxS",-8.9957348293933
"p1k_00429","SoxS",-9.02943514801227
"p1k_00775","SoxS",-9.07315911510703
"p1k_00717","SoxS",-8.95293736638824
"p1k_00319","SoxS",-9.0745360933908
"p1k_00279","SoxS",-9.0565391466309
