"sample","iM","Val"
"p1k_00639","Sugar Diacid",-8.8376525404705
"starve_series__t10_starve","Sugar Diacid",-8.27824480211483
"p1k_00707","Sugar Diacid",-8.71911138027574
"p1k_00824","Sugar Diacid",-7.61246092171413
"p1k_00841","Sugar Diacid",-9.13529267605038
"p1k_00521","Sugar Diacid",-8.87662447202169
"p1k_00405","Sugar Diacid",-9.49833954004725
"p1k_00101","Sugar Diacid",-9.15971617822174
"p1k_00204","Sugar Diacid",-9.06177759102675
"p1k_00305","Sugar Diacid",-8.8393248249813
"p1k_00490","Sugar Diacid",-8.66486651237172
"p1k_00609","Sugar Diacid",-9.27877090174015
"p1k_00450","Sugar Diacid",-9.09737846915166
"p1k_01051","Sugar Diacid",-8.80681521678359
"p1k_00810","Sugar Diacid",-8.92810980166536
"p1k_00061","Sugar Diacid",-8.80111106398033
"p1k_00812","Sugar Diacid",-8.86460920715105
"p1k_00452","Sugar Diacid",-9.02625743625781
"p1k_01015","Sugar Diacid",-8.87473776731408
"p1k_00776","Sugar Diacid",-9.19756179655212
"p1k_00141","Sugar Diacid",-8.90513997596239
"p1k_00320","Sugar Diacid",-8.79347006401162
"starve_series__t28_growth2","Sugar Diacid",-8.86159173379707
"p1k_00931","Sugar Diacid",-8.66212322102752
"p1k_00582","Sugar Diacid",-9.1137129412018
"p1k_00981","Sugar Diacid",-8.86306769853738
"p1k_00540","Sugar Diacid",-9.27411591965143
"p1k_00199","Sugar Diacid",-8.85941161370063
"p1k_00046","Sugar Diacid",-8.937044843398
"p1k_00444","Sugar Diacid",-8.83386723420017
"p1k_00065","Sugar Diacid",-8.50304868266563
"p1k_00453","Sugar Diacid",-9.04822966186788
"p1k_00272","Sugar Diacid",-8.76453098349288
"p1k_00930","Sugar Diacid",-8.67440854666793
"p1k_00938","Sugar Diacid",-8.88585549234398
"p1k_00770","Sugar Diacid",-8.85225191375338
"p1k_00314","Sugar Diacid",-9.0309836700006
"p1k_00018","Sugar Diacid",-8.64812036034941
"p1k_00840","Sugar Diacid",-9.04687364117459
"p1k_00942","Sugar Diacid",-8.82107254107736
"p1k_00063","Sugar Diacid",-8.76350259913085
"p1k_00919","Sugar Diacid",-9.07778224175012
"p1k_00738","Sugar Diacid",-8.89124014183999
"p1k_00231","Sugar Diacid",-9.05686509770766
"p1k_00531","Sugar Diacid",-9.19113318582814
"p1k_00486","Sugar Diacid",-8.79776020628122
"p1k_00579","Sugar Diacid",-8.9913909544825
"p1k_00117","Sugar Diacid",-8.62220145700833
"p1k_00089","Sugar Diacid",-8.65902956827471
"p1k_01040","Sugar Diacid",-8.91614751045422
"p1k_00894","Sugar Diacid",-8.99439076011849
"p1k_00792","Sugar Diacid",-9.47604522148206
"p1k_00696","Sugar Diacid",-8.80963728268737
"p1k_00152","Sugar Diacid",-7.91432579826152
"p1k_00974","Sugar Diacid",-8.79971833955451
"p1k_00100","Sugar Diacid",-8.95781131231012
"p1k_00366","Sugar Diacid",-9.78704911614966
"p1k_00352","Sugar Diacid",-8.70607983809203
"starve_series__t01_starve","Sugar Diacid",-8.79521644400334
"p1k_00876","Sugar Diacid",-9.06628561622073
"p1k_00676","Sugar Diacid",-8.78074314365116
"p1k_00457","Sugar Diacid",-8.46569087813344
"p1k_00401","Sugar Diacid",-9.10237762000903
"p1k_00884","Sugar Diacid",-8.72935476499196
"p1k_00878","Sugar Diacid",-9.33344448497681
"p1k_00105","Sugar Diacid",-8.47251407792483
"p1k_00926","Sugar Diacid",-8.68685150086951
"p1k_00051","Sugar Diacid",-8.95939570225598
"p1k_00499","Sugar Diacid",-8.69790473163575
"p1k_01007","Sugar Diacid",-8.82439516049092
"p1k_00212","Sugar Diacid",-9.03416277230238
"p1k_00087","Sugar Diacid",-8.59805834164822
"p1k_00712","Sugar Diacid",-9.1866848058461
"p1k_00310","Sugar Diacid",-8.97364829273578
"p1k_00396","Sugar Diacid",-9.12485307543587
"p1k_00798","Sugar Diacid",-8.88646954938643
"p1k_00318","Sugar Diacid",-9.0171143563616
"p1k_00656","Sugar Diacid",-8.95802702807798
"p1k_00118","Sugar Diacid",-8.64935483333821
"p1k_00354","Sugar Diacid",-8.77519551596068
"p1k_00842","Sugar Diacid",-8.67876655538968
"p1k_00883","Sugar Diacid",-9.01711435626247
"p1k_00846","Sugar Diacid",-8.5539267459636
"p1k_00740","Sugar Diacid",-8.99953648293212
"p1k_00904","Sugar Diacid",-8.70812320686145
"p1k_00253","Sugar Diacid",-6.28662777050492
"p1k_00713","Sugar Diacid",-9.01476623605394
"p1k_00524","Sugar Diacid",-9.39630459946425
"p1k_01001","Sugar Diacid",-8.81807261430469
"p1k_00553","Sugar Diacid",-9.11243103571992
"p1k_00049","Sugar Diacid",-8.72259614140815
"starve_series__t25_growth2","Sugar Diacid",-8.79553019078276
"p1k_00654","Sugar Diacid",-8.84823626006383
"p1k_00671","Sugar Diacid",-8.92112503640225
"p1k_00963","Sugar Diacid",-8.96542486587078
"p1k_00686","Sugar Diacid",-8.52324294271081
"p1k_00244","Sugar Diacid",-7.92565336861696
"p1k_00138","Sugar Diacid",-8.90489687371914
"p1k_00816","Sugar Diacid",-8.74713635356949
"p1k_00629","Sugar Diacid",-8.85188992958811
"p1k_00164","Sugar Diacid",-9.10090650793836
"p1k_00683","Sugar Diacid",-8.832995746753
"p1k_00757","Sugar Diacid",-9.12892231232718
"p1k_00410","Sugar Diacid",-8.76524838917853
"p1k_00107","Sugar Diacid",-8.89281346388343
"p1k_00426","Sugar Diacid",-8.68356456119995
"p1k_00428","Sugar Diacid",-8.81528934390036
"p1k_01035","Sugar Diacid",-8.70412452181751
"p1k_01005","Sugar Diacid",-8.92440175762424
"p1k_00742","Sugar Diacid",-8.88919223752729
"p1k_00803","Sugar Diacid",-8.7839545757543
"p1k_00399","Sugar Diacid",-9.14633270484825
"p1k_00333","Sugar Diacid",-9.20110059488189
"p1k_00442","Sugar Diacid",-8.98345155984445
"p1k_00279","Sugar Diacid",-8.86629977230639
"p1k_00054","Sugar Diacid",-8.50250274898802
"p1k_00259","Sugar Diacid",-9.01906556655939
"p1k_00599","Sugar Diacid",-9.33945590581872
"p1k_00779","Sugar Diacid",-9.10406002928188
"p1k_00285","Sugar Diacid",-8.93757289839469
"p1k_00946","Sugar Diacid",-8.69955764380889
"p1k_00128","Sugar Diacid",-9.33674799527729
"p1k_00570","Sugar Diacid",-9.2311724334907
"p1k_00993","Sugar Diacid",-8.89223306592021
"p1k_00869","Sugar Diacid",-9.05917715102933
"p1k_01026","Sugar Diacid",-8.93838132082708
"p1k_00851","Sugar Diacid",-8.93313671526481
"p1k_00751","Sugar Diacid",-9.21526871144447
"p1k_00116","Sugar Diacid",-8.6404503194921
"p1k_00694","Sugar Diacid",-8.92525073960136
"p1k_00202","Sugar Diacid",-8.88286641989123
"p1k_00516","Sugar Diacid",-9.02197020105246
"p1k_00728","Sugar Diacid",-8.99752343497971
"p1k_00890","Sugar Diacid",-8.67438878643621
"starve_series__t18_starve","Sugar Diacid",-8.4458047163873
"p1k_00004","Sugar Diacid",-8.39576604617562
"p1k_00203","Sugar Diacid",-8.98899971338776
"p1k_00827","Sugar Diacid",-8.98091413786358
"p1k_01003","Sugar Diacid",-8.89955689957726
"p1k_00076","Sugar Diacid",-8.96221088640627
"p1k_00412","Sugar Diacid",-9.3722911949695
"p1k_00724","Sugar Diacid",-8.80186025684242
"p1k_00451","Sugar Diacid",-9.12030944380376
"p1k_00464","Sugar Diacid",-8.6669498866219
"p1k_00122","Sugar Diacid",-8.69187253650818
"p1k_00321","Sugar Diacid",-8.72935476500741
"p1k_00845","Sugar Diacid",-8.7174815828
"p1k_00861","Sugar Diacid",-8.81506190646172
"p1k_00040","Sugar Diacid",-8.83578346073344
"p1k_00224","Sugar Diacid",-9.05914282484845
"p1k_00600","Sugar Diacid",-9.35139513494014
"p1k_00736","Sugar Diacid",-8.82558570680471
"p1k_00150","Sugar Diacid",-8.83856823916896
"p1k_00858","Sugar Diacid",-9.25687495441393
"p1k_01006","Sugar Diacid",-8.84742699114411
"p1k_00495","Sugar Diacid",-8.59954659117658
"p1k_00006","Sugar Diacid",-9.08471699063201
"p1k_00975","Sugar Diacid",-8.85659823407995
"p1k_00602","Sugar Diacid",-9.489771837026
"p1k_00044","Sugar Diacid",-8.87300914974342
"p1k_00833","Sugar Diacid",-8.93064961105234
"p1k_00252","Sugar Diacid",-6.57453046638539
"p1k_00158","Sugar Diacid",-8.40088686232826
"p1k_00580","Sugar Diacid",-9.15048030174705
"p1k_00644","Sugar Diacid",-8.77911265490991
"p1k_00793","Sugar Diacid",-8.9503614806918
"p1k_00605","Sugar Diacid",-9.0961563225329
"p1k_01016","Sugar Diacid",-8.82098390598272
"p1k_00050","Sugar Diacid",-9.02426880665746
"p1k_01009","Sugar Diacid",-8.88985675006966
"p1k_00649","Sugar Diacid",-8.86871520003602
"p1k_00009","Sugar Diacid",-8.95708451120245
"p1k_00863","Sugar Diacid",-8.79956315806557
"p1k_00470","Sugar Diacid",-8.35019067611165
"p1k_00146","Sugar Diacid",-8.80735847484346
"p1k_00670","Sugar Diacid",-8.93093426279741
"p1k_00862","Sugar Diacid",-8.63625669314797
"p1k_00642","Sugar Diacid",-8.85129088190005
"p1k_00248","Sugar Diacid",-6.61163813306394
"p1k_00764","Sugar Diacid",-8.90225391756295
"p1k_01021","Sugar Diacid",-8.84211750976145
"p1k_00036","Sugar Diacid",-8.70750278719078
"p1k_00737","Sugar Diacid",-8.73335164228362
"p1k_01055","Sugar Diacid",-8.84361949677081
"p1k_00098","Sugar Diacid",-8.39146138714229
"p1k_00825","Sugar Diacid",-7.81892832204147
"p1k_00992","Sugar Diacid",-8.77521685926699
"p1k_00536","Sugar Diacid",-8.83239580936591
"p1k_00772","Sugar Diacid",-9.11643325052984
"p1k_00628","Sugar Diacid",-8.89818329414796
"p1k_00921","Sugar Diacid",-8.76650954383027
"starve_series__t14_starve","Sugar Diacid",-8.33108979519463
"p1k_01033","Sugar Diacid",-8.88507799451753
"p1k_00296","Sugar Diacid",-8.89319737983262
"p1k_00365","Sugar Diacid",-10.2701895384124
"p1k_00716","Sugar Diacid",-8.77347418359312
"p1k_00156","Sugar Diacid",-7.85340239828404
"p1k_01030","Sugar Diacid",-8.7335610746739
"p1k_00334","Sugar Diacid",-9.12987847233231
"p1k_00075","Sugar Diacid",-9.07720548065465
"p1k_00461","Sugar Diacid",-8.75579324080361
"p1k_00514","Sugar Diacid",-9.10061475271927
"p1k_00015","Sugar Diacid",-8.64554352502063
"p1k_00230","Sugar Diacid",-9.00860828934579
"p1k_00817","Sugar Diacid",-8.90670093800272
"p1k_00952","Sugar Diacid",-8.74869009101232
"p1k_00020","Sugar Diacid",-8.50372332518687
"p1k_00190","Sugar Diacid",-9.27109855409714
"p1k_00612","Sugar Diacid",-9.20226859943793
"p1k_00115","Sugar Diacid",-8.7182619929112
"p1k_00756","Sugar Diacid",-9.0647639791371
"p1k_00374","Sugar Diacid",-9.5111432698227
"p1k_00688","Sugar Diacid",-8.65824233226272
"p1k_00029","Sugar Diacid",-8.8156456586999
"p1k_00526","Sugar Diacid",-9.03395907949761
"p1k_00341","Sugar Diacid",-8.91970774888181
"p1k_00420","Sugar Diacid",-9.2958045875164
"p1k_00747","Sugar Diacid",-9.09376807421189
"p1k_00267","Sugar Diacid",-8.89745517805627
"p1k_00480","Sugar Diacid",-9.16524115551402
"p1k_00973","Sugar Diacid",-8.72843182018107
"p1k_00119","Sugar Diacid",-8.6560385088842
"p1k_00936","Sugar Diacid",-8.91960265504636
"p1k_00569","Sugar Diacid",-9.32351349117651
"p1k_00551","Sugar Diacid",-9.09140520612955
"p1k_00080","Sugar Diacid",-9.07676426408503
"p1k_00621","Sugar Diacid",-8.83069271164614
"p1k_00153","Sugar Diacid",-8.73074320287354
"p1k_00800","Sugar Diacid",-8.8147457158556
"p1k_00085","Sugar Diacid",-8.84833833017924
"p1k_00385","Sugar Diacid",-9.77774269759377
"p1k_00286","Sugar Diacid",-8.88712395347924
"p1k_00200","Sugar Diacid",-8.87124373000017
"p1k_00610","Sugar Diacid",-9.07997375922777
"p1k_01014","Sugar Diacid",-8.70093211231618
"p1k_00131","Sugar Diacid",-9.11856457732846
"p1k_00589","Sugar Diacid",-9.17543359076444
"p1k_00498","Sugar Diacid",-8.60664521483797
"p1k_00760","Sugar Diacid",-9.08965399594269
"p1k_00895","Sugar Diacid",-8.85259821790003
"p1k_00627","Sugar Diacid",-8.84226807956637
"p1k_00790","Sugar Diacid",-8.95276083114034
"p1k_01042","Sugar Diacid",-8.80311509234293
"p1k_00631","Sugar Diacid",-8.77663123965802
"p1k_00411","Sugar Diacid",-9.23306147813671
"p1k_00900","Sugar Diacid",-8.70058691770029
"p1k_00901","Sugar Diacid",-8.79674689250054
"starve_series__t03_starve","Sugar Diacid",-8.28409531759005
"p1k_00300","Sugar Diacid",-8.98369459485831
"p1k_00528","Sugar Diacid",-9.09545375029503
"p1k_00548","Sugar Diacid",-9.16267948155491
"p1k_00378","Sugar Diacid",-9.97302738557858
"p1k_00918","Sugar Diacid",-9.26455671787448
"p1k_00661","Sugar Diacid",-8.86313576153585
"p1k_00134","Sugar Diacid",-9.09713484423579
"p1k_00355","Sugar Diacid",-8.85524680930482
"p1k_00349","Sugar Diacid",-8.7929285354765
"p1k_00097","Sugar Diacid",-8.87781347374895
"p1k_00069","Sugar Diacid",-8.85551581461933
"p1k_00565","Sugar Diacid",-9.10892491700935
"p1k_00967","Sugar Diacid",-8.77803489321288
"p1k_00944","Sugar Diacid",-8.79975835905551
"p1k_00055","Sugar Diacid",-8.70365102092915
"p1k_00133","Sugar Diacid",-8.88245335110926
"p1k_00113","Sugar Diacid",-8.61781528741623
"p1k_00432","Sugar Diacid",-9.277500875692
"p1k_00978","Sugar Diacid",-8.87063254540763
"p1k_00395","Sugar Diacid",-9.25306337683006
"p1k_00777","Sugar Diacid",-9.20466161660808
"p1k_00491","Sugar Diacid",-8.60547982907699
"starve_series__t22_growth2","Sugar Diacid",-8.88658165320042
"p1k_00369","Sugar Diacid",-9.23349566662112
"p1k_00159","Sugar Diacid",-9.25647482320689
"p1k_00620","Sugar Diacid",-8.87336582942459
"p1k_00031","Sugar Diacid",-8.63289269961283
"p1k_00072","Sugar Diacid",-8.89624662813868
"p1k_00053","Sugar Diacid",-8.9330911630229
"p1k_00328","Sugar Diacid",-8.8147084296315
"p1k_00289","Sugar Diacid",-9.20144106698598
"p1k_00607","Sugar Diacid",-9.2721560044761
"p1k_00172","Sugar Diacid",-6.77035487256384
"p1k_00780","Sugar Diacid",-9.11900946718984
"p1k_01050","Sugar Diacid",-8.62998233133139
"p1k_00860","Sugar Diacid",-8.80854770773885
"p1k_00613","Sugar Diacid",-9.17581191150194
"p1k_00564","Sugar Diacid",-9.1298925691904
"p1k_00102","Sugar Diacid",-9.22600070068544
"p1k_00418","Sugar Diacid",-9.33541241210244
"p1k_00698","Sugar Diacid",-8.84881536021455
"p1k_00120","Sugar Diacid",-8.65914426831017
"p1k_00232","Sugar Diacid",-8.96915479429837
"p1k_00157","Sugar Diacid",-8.80821885599368
"p1k_00508","Sugar Diacid",-8.56179718700258
"p1k_00302","Sugar Diacid",-8.91564463113241
"p1k_01000","Sugar Diacid",-8.80403692652632
"p1k_00193","Sugar Diacid",-8.74078068201672
"p1k_00435","Sugar Diacid",-9.23277929150924
"p1k_00866","Sugar Diacid",-9.28858238480644
"p1k_00077","Sugar Diacid",-8.95237495577245
"p1k_00459","Sugar Diacid",-8.69729493469215
"p1k_00496","Sugar Diacid",-8.633081240042
"p1k_00597","Sugar Diacid",-9.32841497046461
"p1k_00106","Sugar Diacid",-8.9708458916071
"p1k_00695","Sugar Diacid",-8.89109648288928
"p1k_00161","Sugar Diacid",-9.28318250400383
"p1k_00725","Sugar Diacid",-8.88847430014452
"p1k_01048","Sugar Diacid",-8.71036125904892
"p1k_00317","Sugar Diacid",-9.00277770000745
"p1k_00373","Sugar Diacid",-9.46497248148281
"p1k_00625","Sugar Diacid",-8.75598209758647
"p1k_00788","Sugar Diacid",-9.21232978863228
"p1k_00804","Sugar Diacid",-8.8376366915673
"p1k_00144","Sugar Diacid",-7.94449223284907
"p1k_00254","Sugar Diacid",-6.46758934698606
"p1k_00519","Sugar Diacid",-8.91106746093679
"p1k_00818","Sugar Diacid",-8.89662534073904
"p1k_00242","Sugar Diacid",-8.56370220238087
"p1k_00527","Sugar Diacid",-9.04013520745658
"p1k_00337","Sugar Diacid",-8.96890733364391
"p1k_00733","Sugar Diacid",-8.91845446650901
"p1k_00292","Sugar Diacid",-8.78109664550465
"p1k_00761","Sugar Diacid",-8.78785369039429
"p1k_00226","Sugar Diacid",-8.86886414767768
"p1k_00408","Sugar Diacid",-9.2187701140383
"p1k_00566","Sugar Diacid",-9.22139988086814
"p1k_00830","Sugar Diacid",-8.81303157832658
"p1k_00835","Sugar Diacid",-9.06984874004456
"p1k_00932","Sugar Diacid",-8.66006758588262
"p1k_00991","Sugar Diacid",-8.75564203570544
"p1k_00750","Sugar Diacid",-9.18306820887338
"p1k_00458","Sugar Diacid",-8.42621557482029
