Parameter,Value
act_TF_conc_lo,1.3673843529326623e-15
act_TF_conc_up,0.00018475111869606294
act_Kd_lo,5.6573017297931775e-11
act_Kd_up,0.004933382438884777
inh_TF_conc_lo,1.3673843529326623e-15
inh_TF_conc_up,0.00018475111869606294
inh_Kd_lo,5.6573017297931775e-11
inh_Kd_up,0.004933382438884777
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,5.40913968130074e-07
inh_metab_Total_lo,3.8e-14
inh_metab_Total_up,408000.0
act_metab_Total_lo,3.8e-14
act_metab_Total_up,408000.0
