,MA_activator,MA_inhibitor,actual_mRNA_ratio,ratio_MA_activator,ratio_MA_inhibitor
p1k_00723,0.058209312163772294,0,3.3253340445325574,5.04244290046597,0
p1k_00929,2.123218067394294,0,38.456429300991495,21.09942235666751,0
p1k_00805,-0.1757128727898397,0,2.998370036601902,4.287690161973403,0
p1k_00412,0.0028703904401643924,0,1.9459480382294065,4.852687375613775,0
p1k_00143,0.3366561632852035,0,5.092140478939386,6.115920668962232,0
p1k_00470,1.801194564903375,0,46.38055665297692,16.878421652891227,0
p1k_00545,0.9870305180894225,0,10.089259732273968,9.599398759157191,0
p1k_00974,0.5782556199952299,0,6.593500804313359,7.230869553702019,0
p1k_00928,2.0712060019945557,0,37.64103486094581,20.35229429207588,0
p1k_00938,0.5750203316484988,0,7.913081796915205,7.214672272841125,0
p1k_00056,0.315840363018702,0,4.602086020055499,6.028311190794607,0
p1k_00242,0.17083714632755226,0,4.951558692035785,5.451868166756285,0
p1k_00658,0.05385950912455107,0,5.4838722762778485,5.027262560548126,0
p1k_00248,0.6960374962359035,0,10.823351647702578,7.845965688028578,0
p1k_01023,0.35959610088995586,0,5.311037457930268,6.21394568378207,0
starve_series__t08_starve,1.1783218881159108,0,7.837244736715409,10.960452213859751,0
p1k_00235,0.26743547009207713,0,4.390254207215199,5.829406467603734,0
p1k_00388,-0.0829723731865613,0,2.6350962171891563,4.572366844777285,0
p1k_00095,0.5650061604743506,0,6.366296942446902,7.164766513431109,0
p1k_00657,0.12848525067946795,0,3.455855317412534,5.294148932716704,0
p1k_00693,0.14139628916412508,0,3.4362644202344064,5.341740230228756,0
p1k_00005,0.16581493481491613,0,3.7736312573207766,5.432922490712922,0
p1k_00698,0.14981838002333225,0,3.899142080681602,5.373015165207938,0
p1k_00009,-0.08555233209583192,0,4.945365256535669,4.564197428010148,0
p1k_00386,0.025362662675522094,0,1.8930098304309906,4.928935809654308,0
p1k_00727,0.1600776326932398,0,4.488646119309688,5.411359776521614,0
p1k_00622,0.4108924275094143,0,6.354985396592256,6.4388630156165805,0
p1k_00751,0.06559198708365814,0,3.198645003197942,5.068312629086346,0
p1k_00174,0.040355106249585285,0,2.3821235033965587,4.9804242323929175,0
p1k_00007,0.2205962977761241,0,9.44818563084113,5.643185710665757,0
p1k_00102,0.1739157764890583,0,4.091313108468746,5.463514569083338,0
p1k_00911,0.15700829099196562,0,3.7300151622091864,5.399859316567457,0
p1k_00112,0.35480903162710736,0,6.032164658365502,6.193361090117505,0
p1k_00639,0.22051357571652558,0,4.96137828129251,5.642862147786262,0
p1k_00171,0.0010357115648388095,0,3.433155577008997,4.846520123282866,0
p1k_00981,0.5007577730007485,0,7.061761735574672,6.852694173970418,0
p1k_00361,0.12505418853276945,0,1.5794814306730234,5.28157318327035,0
p1k_00615,0.27839218276463534,0,5.441210266425319,5.873847103617539,0
p1k_00991,0.5721071618867014,0,6.211373856835001,7.2001187054751545,0
p1k_00071,0.4095979902019101,0,4.15397158630965,6.433088429657267,0
p1k_00877,0.2581308106660902,0,5.447806487150349,5.791930699500472,0
p1k_00976,0.5560557441694044,0,5.539052061251548,7.120454216368733,0
p1k_00016,0.30379469346149796,0,4.968915610129461,5.97818781914405,0
p1k_00371,0.09192772526469202,0,2.160439774201293,5.161681972802443,0
p1k_00075,2.1666241389952217,0,22.665177115522976,21.743882634610998,0
p1k_00884,1.2110379965227338,0,22.216716733285207,11.211842876759578,0
p1k_00691,0.24208621096058788,0,8.535256147883098,5.7278739363507505,0
p1k_01055,0.3742430680990223,0,5.055674611431469,6.277354124930654,0
p1k_00932,0.1345267785446878,0,4.446567080822091,5.316365556276429,0
p1k_00954,0.35244646382930284,0,5.668811976030465,6.1832270973695405,0
p1k_00198,1.5328158840121107,0,35.0683926143046,14.013344508937298,0
p1k_01040,0.3839437871508755,0,5.564736975782614,6.319705443774173,0
p1k_00968,0.34769627167448436,0,5.063902851623403,6.162901793007689,0
p1k_00637,0.06830891427152229,0,5.977724094154021,5.077866422781656,0
p1k_00729,0.102871466140773,0,3.6408394129015518,5.200985429119027,0
p1k_00817,0.21302499076193812,0,4.493829878809758,5.613647678175833,0
p1k_00909,1.5894799325001638,0,10.04823532976766,14.57469171359322,0
p1k_00967,0.5758644794104039,0,6.318652524004534,7.21889494733999,0
p1k_00175,0.434444654873763,0,21.860842237521148,6.5448411861336435,0
p1k_00376,0.4765595042596022,0,7.0851044903025935,6.738712771747591,0
p1k_00635,0.43718373307954295,0,9.111530691970515,6.557278922398591,0
p1k_00921,0.5657382263423234,0,10.249085027807139,7.1684030491140085,0
p1k_00304,1.9632697990232313,0,20.356754159093242,18.88518915735183,0
p1k_00842,0.5666628932260716,0,5.2318462404090695,7.172998968099667,0
p1k_00061,0.1238287075695564,0,1.9660852899424797,5.2770887156561335,0
p1k_00250,0.5347086007727514,0,8.093243599678859,7.0158705594644255,0
p1k_00323,1.4605222652213443,0,27.11813014913797,13.32843785033721,0
p1k_00532,0.5321989884735113,0,6.597238173352623,7.0036768460567265,0
p1k_00826,0.5831789809495729,0,15.050861170087797,7.2555878717165845,0
p1k_00619,0.21412600902413395,0,5.023769387927684,5.617933467966667,0
p1k_00094,0.5134069258170625,0,6.570461650370805,6.9130408743715615,0
p1k_00686,0.24293477481500536,0,8.726014191290677,5.731243946187444,0
p1k_00351,0.12230389323275502,0,4.812658816350539,5.271514197479399,0
p1k_00494,0.05842749476631285,0,5.369728516228694,5.04320554016408,0
p1k_00614,0.2903883376141387,0,5.35266884569565,5.922892360567402,0
p1k_00203,0.015222112031616844,0,3.5412149468980103,4.894412315011665,0
p1k_00624,0.06500133645800499,0,4.9048614346546255,5.066238046986777,0
p1k_00880,0.04017391837900584,0,2.3676188260986533,4.979798780878651,0
p1k_00125,1.061046800107245,0,6.979561547915542,10.104740240152987,0
p1k_00645,0.17853411626661497,0,4.550546446856322,5.481032336777064,0
p1k_00458,2.0620235852431748,0,14.416015776510276,20.22316806065838,0
p1k_00807,-0.18026940535793695,0,3.6179594290363664,4.274169508302371,0
p1k_00863,0.07834159124529977,0,4.49588223894839,5.113301591591895,0
p1k_00683,0.11293069016336649,0,3.0959324613035326,5.237376138543422,0
p1k_00781,0.35834344589942185,0,3.180314133874128,6.20855261626891,0
p1k_00707,0.16343361506532475,0,5.064159484603645,5.42396227822286,0
p1k_00896,0.5348464326720709,0,5.424189696589258,7.016540872269067,0
p1k_00579,0.7892503450557727,0,14.90113884270414,8.369630166728317,0
p1k_00910,0.13473236028892902,0,4.67883793538478,5.317123183875094,0
p1k_00456,2.0433787584569787,0,26.36015155710102,19.96349332312241,0
p1k_00820,0.33777450011570787,0,5.679966811609578,6.120663397525104,0
p1k_00529,1.3018677533695293,0,16.632512812995,11.940416728355647,0
p1k_00314,0.24420443914454615,0,5.187187646015297,5.736290029207058,0
p1k_00447,1.4419550882186718,0,23.277846314897165,13.158002786164236,0
p1k_00266,0.033086162415776964,0,5.570580901532027,4.955393734639944,0
p1k_00787,0.1124490531056269,0,3.133058070559502,5.235627956603277,0
p1k_00757,0.06118625915795331,0,3.5063839688403067,5.052858534313142,0
p1k_00370,0.1420356716829911,0,6.017032336233493,5.344108140404489,0
p1k_00476,0.1395455613034944,0,5.651149907788674,5.334892096134463,0
p1k_00379,0.12611946121556333,0,1.7445473158084053,5.285474488255724,0
p1k_01017,0.41390493834538195,0,4.003170198301762,6.452322138908448,0
p1k_00656,0.09822264116272612,0,3.7326112284186013,5.184253162968991,0
p1k_00042,0.03168019533924717,0,5.246616643886514,4.950566847133447,0
p1k_00528,1.240260090726922,0,17.52286037599951,11.441256702849904,0
p1k_00782,0.5013050369627855,0,5.440018961193842,6.855294130194125,0
p1k_00939,0.6554203446409832,0,8.713869784134216,7.628153497874415,0
p1k_00901,0.16683047369846743,0,3.653957054442418,5.436748168502468,0
p1k_00011,0.2759531883283668,0,5.149334605529056,5.8639252719454555,0
p1k_00078,1.9515487109186473,0,32.8813810551265,18.732379175016476,0
p1k_00281,0.2456307349941244,0,5.572499221751507,5.741963918757152,0
p1k_00195,0.8995831929935718,0,21.52221443091106,9.034825412745326,0
p1k_00834,0.3175597708839638,0,3.6428288490385294,6.035500031421834,0
p1k_00147,1.5628448221492564,0,22.558345895395394,14.308081659514913,0
p1k_00059,0.3275142478099919,0,2.2455766397571004,6.077288487064328,0
p1k_00706,0.18677337144167347,0,4.783506139591659,5.512424157139093,0
p1k_00124,0.24824535335553574,0,9.779021197046067,5.752379603481932,0
p1k_00692,0.12743462777430184,0,3.7635590305953404,5.29029494473952,0
p1k_00800,0.030149577241736475,0,4.667552986001515,4.945317360024851,0
p1k_00867,0.10084836020362369,0,3.064896943709485,5.19369714573627,0
p1k_00074,1.49114397369005,0,30.3015962510784,13.614362309631195,0
starve_series__t18_starve,1.0469661697846049,0,8.133758250819636,10.00659819836933,0
p1k_00076,1.5863639075900695,0,14.930026385452566,14.543246334478228,0
p1k_00022,0.2367816152355831,0,3.7721367879194685,5.7068519850084485,0
p1k_00418,-0.03082305354757935,0,2.599696234169558,4.740668378340442,0
p1k_00402,-0.012372100916615371,0,2.666280224861096,4.801687216794309,0
p1k_01018,0.3122900659368,0,4.192535754903708,6.013494488450394,0
p1k_00145,0.9240399455480633,0,55.91811836580702,9.189290496268503,0
p1k_00358,0.1618227881046805,0,5.34405920120574,5.41790958614531,0
p1k_00647,0.2770917426689778,0,10.500180331289496,5.868554824646546,0
p1k_00755,0.112143160322381,0,3.426658853036413,5.234517970786474,0
p1k_00553,1.5682798064824734,0,7.923754103419364,14.362085353936022,0
p1k_00565,0.00735372530730358,0,3.6096080893004774,4.867791095994693,0
p1k_00090,0.24379644128350156,0,4.998091004357347,5.734668021026262,0
p1k_00453,1.8051697678938698,0,25.90031106864805,16.924992599834457,0
p1k_00154,2.06589301481984,0,37.714129720109995,20.2774811037356,0
p1k_00831,0.4813143751878917,0,3.1682279920699816,6.760959032072135,0
p1k_00240,0.41671821565203365,0,3.941785261111881,6.464916541016154,0
p1k_00891,0.1357740651386731,0,6.166755839204408,5.320963824493197,0
p1k_00601,1.140492715328245,0,25.809085180878892,10.676791388411091,0
p1k_00626,0.015438431264322743,0,4.628312091408605,4.89514624343448,0
p1k_00324,1.3139717552326096,0,29.84694425289027,12.041016509216133,0
p1k_00496,0.9435284401791192,0,16.565826857682303,9.314265266924211,0
p1k_00272,0.2517243487421978,0,3.8379396209128673,5.766267951729534,0
p1k_00045,0.1583116059624562,0,4.041676288421664,5.404739694708624,0
p1k_00560,0.9048494541586397,0,10.975227348903365,9.06786544868775,0
p1k_00548,1.5337631727557297,0,15.921874049056644,14.022548839887277,0
p1k_00887,0.2259932291116358,0,1.9056878134024557,5.664335656946667,0
p1k_00423,-0.045236775185794685,0,2.4072191786805,4.69354097699261,0
p1k_01049,0.41977413877372016,0,4.885323109994288,6.47862506990649,0
p1k_00409,0.14241539537043488,0,6.290541316974627,5.345514918325935,0
p1k_00135,0.20084644286222605,0,5.6753035160284115,5.566459375422397,0
p1k_00187,0.31089851857348316,0,4.864071648328417,6.007696986022919,0
p1k_00715,0.10644353783647574,0,3.030860261766012,5.213878875737295,0
p1k_00259,1.5279408465334972,0,11.45227647846643,13.966071672731667,0
p1k_00172,0.00913283571086029,0,3.231978930300588,4.87379768756963,0
p1k_00334,1.446277303726888,0,18.393014720476113,13.197482370635935,0
p1k_00961,0.3020850510838239,0,4.881246498389292,5.9711076604945665,0
p1k_00346,0.16192177425062498,0,3.7381984666670833,5.4182813323373065,0
p1k_00948,0.23437627074677586,0,3.81524362692723,5.697345119204458,0
p1k_00173,0.09123493536570143,0,2.6536708204355146,5.15920390046505,0
p1k_00964,0.6193007418164407,0,6.365251980475728,7.439544394164825,0
p1k_00510,0.5063622917321396,0,6.756173840285307,6.879366996389937,0
p1k_00359,0.9554908491471719,0,4.234289176177581,9.39181752995031,0
p1k_00396,-0.03083812454282422,0,2.5526461058008922,4.740618855596279,0
p1k_00126,0.2617775935680716,0,4.447496900297067,5.80658981406614,0
p1k_00947,0.2926775889289148,0,4.2327361490718385,5.932298196210175,0
p1k_00222,0.11516178942241856,0,3.1425591681830243,5.24548190292359,0
p1k_00052,0.223790388057004,0,3.6251083471344026,5.655693421670828,0
p1k_00260,1.6423446850033232,0,12.854726764747934,15.118658366428923,0
p1k_00773,1.3226268178990594,0,16.06279293867732,12.113470480997446,0
starve_series__t09_starve,1.1670799991509064,0,7.621440690363911,10.875377156350373,0
p1k_00041,0.08607782156168194,0,6.513481997408076,5.140794532569314,0
p1k_00194,1.767041254988001,0,24.862943143795096,16.483546644626294,0
p1k_00060,0.13978028505134013,0,1.82298371801608,5.335760143576632,0
p1k_00034,0.4571597030590737,0,14.170464061290296,6.648704380984142,0
p1k_00816,0.4714919888135262,0,6.937797634908807,6.7150843358613015,0
p1k_00866,0.05328761704340182,0,2.682092971280674,5.025270121537053,0
p1k_00010,-0.0881507696860949,0,4.781105464925689,4.555984252034123,0
p1k_00254,0.32825112381892957,0,3.286697811585965,6.080393337227376,0
p1k_00742,0.20492900473448988,0,3.6734099249984595,5.582233741376724,0
starve_series__t26_growth2,0.4375453393963992,0,5.441910397235868,6.55892268674094,0
p1k_00890,0.10117411472340593,0,6.554921867318689,5.194869993285233,0
p1k_00746,0.1567809133471206,0,3.2466646197177065,5.399008332465354,0
p1k_00478,0.9628814407823587,0,9.425069194368758,9.440053074209146,0
