,cAct,cInh
control__wt_glc__1,0.03409093373266234,1.0915071826233984
control__wt_glc__2,0.03217196208218309,1.0521008823066391
fur__wt_dpd__1,0.012449503747975868,4.332387567758314
fur__wt_dpd__2,0.011572699960085505,3.703113837689279
fur__wt_fe__1,0.0430870673159416,1.5591177748578668
fur__wt_fe__2,0.037231646430435264,1.3718580413439538
fur__delfur_dpd__1,0.01339273843661631,3.3240893334956843
fur__delfur_dpd__2,0.01339273843661631,3.422014314738983
fur__delfur_fe2__1,0.02779987573612458,1.4294909360203558
fur__delfur_fe2__2,0.027759226110571973,1.2639064469252281
acid__wt_ph5__1,0.025841963449678745,1.834498557725267
acid__wt_ph5__2,0.026975296983157957,1.9623656023068172
acid__delgadx_ph5__1,0.02779987573612458,2.3513767831676295
acid__delgadx_ph5__2,0.03217196208218309,1.8727899962275756
acid__delgadw_ph5__1,0.02779987573612458,1.7420443607505138
acid__delgadw_ph5__2,0.02779987573612458,2.0275055057602716
acid__delgade_ph5__1,0.02779987573612458,1.6498678645608755
acid__delgade_ph5__2,0.02779987573612458,1.650737003711118
oxidative__wt_pq__1,0.012449503747975868,0.7446191660772015
oxidative__wt_pq__2,0.012449503747975868,0.6280664731275023
oxidative__deloxyr_pq__1,0.025841963449678745,1.4321330388155993
oxidative__deloxyr_pq__2,0.024859505687574366,1.4635354966146132
oxidative__delsoxr_pq__1,0.013392574783425369,0.7564944914045244
oxidative__delsoxr_pq__2,0.012449503747975868,0.8142421834678489
oxidative__delsoxs_pq__1,0.01331346732724118,0.7030101645489448
oxidative__delsoxs_pq__2,0.012449503747975868,0.5682652569104305
nac_ntrc__wt_csn__1,0.013288711068013638,4.085277654775062
nac_ntrc__wt_csn__2,0.012826451509544312,4.085277654775062
nac_ntrc__wt_cytd__1,0.01339273843661631,2.723212349147554
nac_ntrc__wt_cytd__2,0.01339273843661631,2.8250031964482734
nac_ntrc__wt_gln__1,0.012449503747975868,2.431376191276594
nac_ntrc__wt_gln__2,0.01260712086901581,2.6312165068935354
nac_ntrc__bw_delnac_csn__1,0.011572699960085505,6.9238422998612865
nac_ntrc__bw_delnac_csn__2,0.011572699960085505,6.0501181016430365
nac_ntrc__bw_delnac_cytd__1,0.01339273843661631,2.1528034260931905
nac_ntrc__bw_delnac_cytd__2,0.01339273843661631,2.0613954251215105
nac_ntrc__bw_delnac_gln__1,0.01339273843661631,2.501485225564771
nac_ntrc__bw_delnac_gln__2,0.01339273843661631,3.2139784296280385
nac_ntrc__bw_delnac_nh4__1,0.03424621742971765,0.9426235087389749
nac_ntrc__bw_delnac_nh4__2,0.04005249625218759,1.0034505280187656
misc__wt_no_te__1,0.014100355150490363,0.4872375787802392
misc__wt_no_te__2,0.014407437152728474,0.6825745283751383
misc__bw_delcbl__1,0.0430870673159416,1.3740314378169036
misc__bw_delcbl__2,0.0478553766959247,1.360063215249616
misc__bw_delfabr__1,0.04005249625218759,1.3924990280150278
misc__bw_delfabr__2,0.045859310978513805,1.5748798481090216
misc__bw_delfadr__1,0.02779987573612458,1.1320440977056434
misc__bw_delfadr__2,0.03217196208218309,1.3970941166323236
misc__nitr_031__1,0.01339273843661631,2.118019909553615
omics__wt_glu__1,0.014407437152728474,2.2673450008954092
omics__wt_glu__2,0.02779987573612458,2.5404077189671592
omics__wt_gly__1,0.03217196208218309,1.6003395994261174
omics__wt_gly__2,0.02779987573612458,1.6563571887535549
omics__wt_thr__1,0.014407437152728474,1.545794197379558
omics__wt_thr__2,0.015499014357086519,1.33147644135865
omics__bw_ac__1,0.3329911141348995,15.229925263213826
omics__bw_ac__2,0.30953894478599814,14.607702426035944
omics__bw_fum__1,0.21241993144694327,15.290319461290052
omics__bw_fum__2,0.2125751432255854,15.290319461290052
omics__bw_glc__1,0.013668564875980406,2.272313527079786
omics__bw_glc__2,0.014407437152728474,2.24572838042473
omics__bw_pyr__1,0.17327431451643777,15.290319461290052
omics__bw_pyr__2,0.17482871092735186,15.290319461290052
