,MA_activator,MA_inhibitor,actual_mRNA_ratio,ratio_MA_activator,ratio_MA_inhibitor
p1k_00783,-0.10933851831780904,0,4.813699760440958,3.828993664747081,0
p1k_00479,0.8795763106994874,0,2.0192554468191037,7.599371477139345,0
p1k_00590,-0.2552372206654444,0,2.235113379269998,3.4607064473701197,0
p1k_00256,0.19584465055879663,0,3.557814856965925,4.731010760013736,0
p1k_00540,0.28695325548012784,0,3.7098792797227347,5.039417719863732,0
p1k_00597,-0.053016969105218394,0,2.9882822803155076,3.981430357305489,0
p1k_00876,0.048002073949568076,0,1.462143585646474,4.27020658173001,0
p1k_00939,0.04064991489466199,0,1.1008773386065964,4.248500416714685,0
p1k_00774,-0.37716315340404144,0,3.2441720705953183,3.1802510087756444,0
p1k_00231,0.09434791101144387,0,3.3311720108528045,4.409611948971703,0
p1k_00342,-0.03667571393483641,0,3.809876261175199,4.026783973630695,0
p1k_00818,-0.027938641186363904,0,3.6181225762370635,4.0512444814182595,0
p1k_00029,0.05023073037417995,0,4.007358609286542,4.2768082387548905,0
p1k_00092,-0.08636475220581807,0,2.889124758776252,3.890455395989419,0
p1k_01011,-0.05665498138652491,0,1.7524529439988006,3.971403120186481,0
p1k_00449,0.5105750256185347,0,5.818546317690751,5.884332693000938,0
p1k_00050,-0.0793409458764572,0,2.3422193739144954,3.9094423827127978,0
p1k_00265,0.024367036558201393,0,5.741450430814182,4.200819588354043,0
p1k_00729,-0.23568708671406127,0,4.108363345795659,3.507922086386261,0
p1k_00488,0.2334183168971847,0,7.856197153778205,4.855844115862579,0
p1k_00703,-0.04215054914894214,0,2.850951653046484,4.011531823893809,0
p1k_00026,-0.15432941460128569,0,2.1186040223306195,3.7114279881845293,0
p1k_00483,0.006733498439086521,0,3.123150161484832,4.149787006147884,0
p1k_00979,0.013410595656636388,0,1.0044620118993355,4.169037610043213,0
p1k_01055,-0.04818488329218776,0,1.333002722497975,3.9947879048062274,0
p1k_00627,-0.13043120115944662,0,3.4233504967945274,3.773419744409636,0
p1k_00228,0.022976226498865555,0,3.651405068557677,4.196771798163115,0
p1k_00052,-0.05966550059843423,0,2.659960986585491,3.9631245032567466,0
p1k_00773,-0.3631553664212677,0,2.8939685207778165,3.2112799157117213,0
p1k_00387,-0.03536407837294239,0,2.6949164592248227,4.030446615125651,0
p1k_00172,-0.05364412408378235,0,2.705055482505113,3.979699963045004,0
p1k_00938,0.021595207139118524,0,1.3434531816858093,4.192756361915287,0
p1k_00290,-0.033440366195261244,0,2.155370641290015,4.035824460462912,0
p1k_00530,0.20306978970642564,0,3.7547743787332872,4.754763491430302,0
p1k_00425,-0.24899148923735331,0,5.3463568815905145,3.4757210534890164,0
